pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,10800,5000,5800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000037794,State of Georgia,9700,0,9700,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Syfan Logistics,7900,0,7900,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Circle C Investments,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000049982,Daniel Defense LLC,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Peach State Federal Credit Union,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Rac Properties,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Something Special LLC,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00756205,"",          ,Hindus of Georgia PAC,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Jody Hice for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Beck Funeral Home,3900,0,3900,2022-04-18 00:00:00 +0000,14, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,3000,3000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000090916,AssuranceAmerica,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Blaze Properties,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Cold River Partners,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Double Tap Cleaners LLC,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000033647,Fieldale Farms,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Georgia Gun Store,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Gold Creek Foods,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Joe Costa & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Loan South Finance,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Manserman,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,North Club Real Estate,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Phillips Group,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,River City Bank,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000058388,Walters Management,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Wayne Trading,2900,0,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
C90011693,"",D000026353,Gun Owners of America,2500,2500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00034272,"",D000000568,National Chicken Council,2500,2500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00738260,"",          ,Point Action PAC,2500,2500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Adventure Outdoors,2000,0,2000,2022-04-18 00:00:00 +0000,34, , ,0,          
C00493221,"",D000073675,Guardian Fund,2000,2000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Heyward Allen Motor Co,2000,0,2000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Honorary Consulate of Georgia,2000,0,2000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Jason Smith for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00714329,"",D000070563,Transdigm Group,2000,0,2000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Adams Insurance Agency LLC,1800,0,1800,2022-04-18 00:00:00 +0000,41, , ,0,          
C00459933,"",D000045928,Aaron's Co,1500,1500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,1500,1500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Golden Hills Business Park,1500,0,1500,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Alliance of Financial Professionals Ll,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Alogent,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Gainesville Marina,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,1000,1000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Jaemor Farms,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00303024,"",D000000104,Lockheed Martin,1000,1000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00053553,"",D000000082,National Rifle Assn,1000,1000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Nelson Tractor,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Oliver & Weidner LLC,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Rabun Builders,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000088435,Thomas Usaf Group,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Turner & Patat PC,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000082212,Wallace & Wallace,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00764795,"",          ,We the People Leadership PAC,1000,1000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000031056,Wilheit Packaging,1000,0,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000073426,Pencor Services,850,0,850,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Lilly Reality Assoc,700,0,700,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Metro Site Fabricators LLC,600,0,600,2022-04-18 00:00:00 +0000,62, , ,0,          
C00492579,"",D000073364,American Principles,500,500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Buckhead Periodontics,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Caillous Foundation,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Cathy Arbitter Farms Busi Park Properties LLC,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Coldwell Banker-High Country Realty,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00401786,"",D000025923,Freedom's Defense Fund,500,500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Kirchner Family Foundation,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Ncp Holdings LLC,500,0,500,2022-04-18 00:00:00 +0000,63, , ,0,          
