pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000088897,B Riley Financial,37700,0,37700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group,31900,0,31900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000084384,Mt Brilliant Farm,29000,0,29000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021845,Apollo Global Management,25404,5400,20004,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000043577,Mt Vernon Investments,21600,0,21600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000083875,Golden Age Farm,21200,0,21200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000023865,Alliance Resource Partners,20900,0,20900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00326595,"",D000021891,Capital One Financial,20000,20000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,20000,20000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00158881,"",D000000249,New York Life Insurance,18500,18500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00689091,"",D000000810,Carlyle Group,18400,15500,2900,2022-04-18 00:00:00 +0000,11, , ,0,          
C00388827,"",D000066716,Rock Holdings,17400,12500,4900,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000020995,UBS AG,16500,15000,1500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00105981,"",D000000262,Investment Co Institute,16000,16000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000343,Northwestern Mutual,15713,10000,5713,2022-04-18 00:00:00 +0000,15, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00227744,"",D000000098,Ernst & Young,15000,15000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
