pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00646703,"",D000070512,Winning for Women,20300,0,20300,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000093433,McCoy Group,19900,0,19900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021757,Berkshire Hathaway,17500,17000,500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00608943,"",          ,ClearPath Action,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00284885,"",D000000419,Home Depot,15149,15000,149,2022-04-18 00:00:00 +0000,5, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00450692,"",D000046017,Poet LLC,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00107235,"",D000000124,PriceWaterhouseCoopers,13025,13000,25,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000088974,Cottingham & Butler,12600,0,12600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00360354,"",D000023883,Amazon.com,12535,12500,35,2022-04-18 00:00:00 +0000,11, , ,0,          
C00096156,"",D000000334,Honeywell International,11945,11000,945,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Rathje Construction,11650,0,11650,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Cedar Valley Steel,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Consumer Credit Innovations,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000091681,Fahr Beverage,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00443168,"",D000026637,Intercontinental Exchange Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Investments Ltd,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000062001,Kendall Hunt Publishing,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000083956,Rock Central,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000091846,Waldinger Corp,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000083958,Archer Auto Group,11195,0,11195,2022-04-18 00:00:00 +0000,26, , ,0,          
C00475665,"",D000045973,Growth Energy,11000,11000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,11000,11000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000032623,Civic Service Inc,10800,0,10800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000020995,UBS AG,10800,5000,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
C00204099,"",D000000408,Deere & Co,10369,10000,369,2022-04-18 00:00:00 +0000,31, , ,0,          
C00236489,"",D000000186,Koch Industries,10010,10000,10,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000032392,Castle Harlan Inc,10000,0,10000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00566851,"",          ,"Jobs, Opportunity & New Ideas PAC",10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00388827,"",D000066716,Rock Holdings,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00765982,"",          ,Stand for America PAC,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000094208,Summit Agricultural Group,10000,0,10000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00689091,"",D000000810,Carlyle Group,9400,6500,2900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,44, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,8798,5500,3298,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000081169,Ls2group,8775,0,8775,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Candy Bomber Productions LLC,8700,0,8700,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Concordia Group (Iowa),8700,0,8700,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000036648,Petrizzo Group,8700,0,8700,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000068983,Route One Investment,8700,0,8700,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000070479,Harbinger Strategies,7900,0,7900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Nlm,7900,0,7900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000037717,Spencer Enterprises,7900,0,7900,2022-04-18 00:00:00 +0000,51, , ,0,          
C00236414,"",          ,TransAmerica,7550,7500,50,2022-04-18 00:00:00 +0000,54, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00713669,"",D000061524,Green Plains,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00078451,"",D000000165,General Dynamics,7422,7000,422,2022-04-18 00:00:00 +0000,59, , ,0,          
C00388462,"",          ,ITC Holdings,7000,7000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00763623,"",D000073362,Anduril Industries,6800,0,6800,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000034950,JSC Properties,6800,0,6800,2022-04-18 00:00:00 +0000,61, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,6500,3500,3000,2022-04-18 00:00:00 +0000,63, , ,0,          
C00106146,"",D000000116,American Hospital Assn,6500,6500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00248716,"",D000000461,Comcast Corp,6500,6500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,6500,6500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000000772,Station Casinos,6403,0,6403,2022-04-18 00:00:00 +0000,67, , ,0,          
C00158881,"",D000000249,New York Life Insurance,6013,6000,13,2022-04-18 00:00:00 +0000,68, , ,0,          
C00511444,"",D000000677,Hartford Financial Services,6000,6000,0,2022-04-18 00:00:00 +0000,69, , ,0,          
C00039305,"",D000000071,Citigroup Inc,5874,0,5874,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000022288,TRT Holdings                            ,5803,0,5803,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000021912,Citadel LLC,5802,0,5802,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Admiralty Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Anderson-Weber Inc,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000060115,Anthony Timberlands,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000044273,Black Diamond Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000047864,Bluff Point Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Butler Insurance Services,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000089060,Cbe Companies,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Cc Onnen LLC,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Ccb Packaging,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000032576,Ciena Healthcare Management,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000064667,Creative Solutions In Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000021943,Crow Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000066619,Cumberland Development,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Emc Insurance Group,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,First American Bank,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Gld Commercial,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Heartland Express Trucking,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000034490,Hj Kalikow & Co,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Integrated Community Development,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Iowa Spring,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000034744,Iowa State University,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000061881,Jane Street Capital,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,King'S Concrete,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000070580,Kirke Financial Services,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Lamberti Gocke & Luetje Pc,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,LGI,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000062243,Lynch Livestock,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000035539,Maclean-Fogg Co,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000035550,Magnolia Marketing,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000091798,Matteson Marine Service,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000035702,McAninch Corp,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000068511,McMahon Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000035893,Millbrook Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000055369,Peterson Contractors,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000055609,Portage Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
C00289595,"",          ,Putnam Investments,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Quincy Recycle & Quincy Farm Product,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000078404,Redwave Communications,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000087616,Sandy Bay Partners,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Standard Golf Co,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000091833,Terreg Management,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Vorhees Family Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Wells Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,West Side Unlimited,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000031179,Yancey Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,73, , ,0,          
