pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000081828,Bc Operating,34100,0,34100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000087817,Oryx Midstream Services,33200,0,33200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Sprint Waste,30300,0,30300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Buddys Plant Plus,23800,0,23800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000035862,Midland Energy,22400,0,22400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Shannon Clinic,22050,0,22050,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000088109,Double Eagle Development,21600,0,21600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000084155,Double Eagle Energy,21600,0,21600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090958,Statewide Minerals Co,21600,0,21600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000088564,Reece Albert Inc,20450,0,20450,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,HL Brown Operating LLC,16600,0,16600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Signal Marienfeld LLC,15800,0,15800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00112896,"",D000000303,ConocoPhillips,15690,2500,13190,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000033185,Discovery Operating,15400,0,15400,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Crump Energy Partners,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Hunt Consolidated,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Southcross Energy,11300,0,11300,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Bnb Ventures,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Frac Tank Rentals,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000044899,Hillwood Development,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000071351,Kent Companies,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Mabee Ranch,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Morenz Group,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036906,Quantum Energy Partners,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000036912,Quintana Minerals,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,"Real Estate, Oil, Gas",10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Regions Energy,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00135855,"",D000071364,Diamondback Energy,10300,2500,7800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00540187,"",D000027721,Innovation PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Mueller Inc,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Red 6,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Hughes & Hughes,8700,0,8700,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000030181,Summit Petroleum,8500,0,8500,2022-04-18 00:00:00 +0000,37, , ,0,          
C00035006,"",D000000015,Chevron Corp,8345,2500,5845,2022-04-18 00:00:00 +0000,38, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,8000,8000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000073432,Don Evans Group,7900,0,7900,2022-04-18 00:00:00 +0000,40, , ,0,          
C00398750,"",D000022152,New PAC,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00083857,"",D000000206,Occidental Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000058565,Western Shamrock,7500,0,7500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00095869,"",D000000297,Edison Electric Institute,7000,6000,1000,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000065677,Henry Resources,6800,0,6800,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000090479,Newkumet Exploration,6800,0,6800,2022-04-18 00:00:00 +0000,45, , ,0,          
C00078451,"",D000000165,General Dynamics,6500,6500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
