pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00034884,"",D000000111,Amway/Alticor Inc,24200,1000,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034363,Haworth Inc,23232,0,23232,2022-04-18 00:00:00 +0000,2, , ,0,          
C00388827,"",D000066716,Rock Holdings,20200,12500,7700,2022-04-18 00:00:00 +0000,3, , ,0,          
C00326595,"",D000021891,Capital One Financial,20000,20000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000074548,Daly Consulting Group,17900,0,17900,2022-04-18 00:00:00 +0000,5, , ,0,          
C00280222,"",D000019986,KPMG LLP,17500,17500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,17000,17000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,15275,15250,25,2022-04-18 00:00:00 +0000,8, , ,0,          
C00076299,"",D000023666,CME Group,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00104802,"",D000000350,Delta Air Lines,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00105981,"",D000000262,Investment Co Institute,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00121319,"",D000029442,Thrivent Financial,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00313700,"",D000063760,Transunion Llc,15000,10000,5000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00300178,"",D000019743,Wells Fargo,14000,14000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000035776,Meijer Inc,13700,0,13700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00004275,"",D000000087,American Bankers Assn                   ,13500,12500,1000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,13000,13000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00540518,"",D000021890,Capital Group Companies,12500,12500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00171843,"",          ,Liberty Mutual Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00211318,"",D000000131,Deloitte LLP,12000,12000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Bpv,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Captrust Finanacial Advisors,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000089989,Eagle Alloy,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Pioneer Construction,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Rami,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000031106,Windquest Group,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
C00455733,"",          ,Flagstar Bank,11000,10000,1000,2022-04-18 00:00:00 +0000,31, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,11000,11000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Den Dulk Dairy Farms,10800,0,10800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Green Light Property Management,10800,0,10800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000074177,Land & Co,10800,0,10800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Vanmanen Petroleum Group                          ,10600,0,10600,2022-04-18 00:00:00 +0000,36, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,10500,10500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00034785,"",D000021803,ACA International,10000,10000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,10000,10000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00012914,"",D000000608,American Land Title Assn,10000,10000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
