pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000062269,Magnum Magnetics,27400,0,27400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000087494,Brilex Industries,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Pi&I Motor Express,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000087534,Artex Oil Co,15500,0,15500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000049602,Compco Industries,15400,0,15400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00236489,"",D000000186,Koch Industries,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Valley Electrical Consolidated,11962,0,11962,2022-04-18 00:00:00 +0000,8, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,11500,10000,1500,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000071398,Kimble Companies,11100,0,11100,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Noah Partners,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,"Washington County, OH",10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00364109,"",D000023930,America's Communications Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00008839,"",D000021836,American Podiatric Medical Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00545079,"",          ,Belief In Life & Liberty,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Gsc,10000,0,10000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00065870,"",          ,Operating Engineers Local 18,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037533,Sherwin-Williams Co,10000,0,10000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000074017,Covelli Enterprises,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00610956,"",D000053613,Memorial Health System (Ohio),7750,5000,2750,2022-04-18 00:00:00 +0000,20, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
