pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Ka Consulting LLC,60000,0,60000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000060269,Bass Pro Shops,34056,0,34056,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000072307,Mercy (Missouri),22910,0,22910,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000032790,Community Bank & Trust,17975,0,17975,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Christenson Transportation,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000035554,Mahaffey Enterprises,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Src Holdings,15850,0,15850,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000057738,Trailiner Corp,14300,0,14300,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Mayse Auto,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000053847,Missouri State University,12450,0,12450,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Republic Ford                                     ,11900,0,11900,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000086829,Catalyst Pharmaceuticals,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000060863,Crown Assoc Realty,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Jared Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035452,Loren Cook Co,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Thompson Sales,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Vintage Stock,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000058635,Willow Asset Management,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Wilson Logistics,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000062096,Larson Group,11200,0,11200,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000055678,Prime Inc,10900,0,10900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060835,Cox Health Systems,9976,0,9976,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Wampler Passanise Law Office,9700,0,9700,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Bryan Properties,8825,0,8825,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Positronic                                        ,8800,0,8800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000089843,Bristol Manufacturing,8784,0,8784,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Greenlawn Funeral Home,8650,0,8650,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Springfield Development Comp,7925,0,7925,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000068962,Farragut Partners,7800,0,7800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Penn Enterprises,7415,0,7415,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Tlc Property Management LLC,6650,0,6650,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034296,Hamra Enterprises,6000,0,6000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Bill Killian Construction Co,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Bolivar Technical College,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Builder Developers                                ,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Calibrated Products,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000032623,Civic Service Inc,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Community Urgent Care Medical,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000065372,Drury Hotels,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,George Carden International Circus,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000051780,Herzog,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000043992,Kimbell & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Lifestyle Contractors,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
C00108035,"",D000022105,McKesson Corp,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Orthopedic Center of Stl,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000055134,Ozarks Coca-Cola Bottling,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Panera Bread,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000072043,Polaris Consulting,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Prime Trucking,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Rene' Bates Auctioneers,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Sgc,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000037554,Shutts & Bowen,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Southwest Auction Service & Marketing,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Southwest Wheels & Deals,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,St John'S,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Starboard Marina,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
C00012468,"",D000000212,Coca-Cola Co,5600,0,5600,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Ripley Entertainment,5400,0,5400,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000062083,Lake Country Investments,5125,0,5125,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Bates & Assoc,5025,0,5025,2022-04-18 00:00:00 +0000,60, , ,0,          
C00597062,"",          ,Buddy PAC,5000,5000,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000074744,Cloakroom Advisors,5000,0,5000,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Hcw LLC,5000,0,5000,2022-04-18 00:00:00 +0000,61, , ,0,          
C00573626,"",          ,Lee PAC,5000,5000,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Schumacher Automotive,5000,0,5000,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000085727,Tree of Life Foundation,5000,0,5000,2022-04-18 00:00:00 +0000,61, , ,0,          
C00431403,"",D000029716,Vote to Elect Republicans Now PAC,5000,5000,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000042427,O'Reilly Auto Parts,4725,0,4725,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000035038,Keller Williams Realty,4000,0,4000,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Murney Assoc,4000,0,4000,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000062572,Musick Construction,4000,0,4000,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Thousand Hills Golf,4000,0,4000,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000034444,Herschend Family Entertainment,3975,0,3975,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Ozark Bank,3900,0,3900,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Parks & Jones Attorneys At Law,3900,0,3900,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Roper Auto Group,3900,0,3900,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Ogilvy Government Relations,3800,0,3800,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,K&S Wire Products,3600,0,3600,2022-04-18 00:00:00 +0000,78, , ,0,          
C00332395,"",D000027765,Viatris Inc,3448,0,3448,2022-04-18 00:00:00 +0000,79, , ,0,          
C00388819,"",D000028342,Pharmaceutical Care Management Assn,3259,0,3259,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000046914,American Dehydrated Foods,3157,0,3157,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Falcon Steel,3000,0,3000,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Ridewell Suspensions,2972,0,2972,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Assiter Auctioneers,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000060861,Crossroads Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000080483,DMM Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Don Musick Construction,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Dynamic Body,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000065650,EN Consulting,2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,"Hogen Lovells, Us Llp",2900,0,2900,2022-04-18 00:00:00 +0000,84, , ,0,          
