pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Innovations Group,25700,0,25700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000091861,Boyer Co,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00284885,"",D000000419,Home Depot,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Cicero Group,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000089938,Cache Valley Electric,15000,0,15000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Brad F Larson Co,13300,0,13300,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032743,Colliers International,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Full-Time Graduate Student,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,JT Co,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ridgeview Capital,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,UBS Bank USA,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Kenley Ford,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Layton Construction,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Prime Insurance,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00446948,"",D000033512,ES3 Inc,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00379628,"",D000028057,Nucor Corp,9800,4000,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096156,"",D000000334,Honeywell International,9500,9500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,9000,9000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Dutko Government Relations,8000,0,8000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00550491,"",D000030396,Thompson Coburn LLP,8000,8000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00433060,"",D000029531,Republican Governance Group,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Trilogy Asset Management,6000,0,6000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00763623,"",D000073362,Anduril Industries,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021873,Blackstone Group,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000068060,Clearpath Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Cynosure Group,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00757922,"",          ,Expect More Leadership PAC,5800,5800,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Mladineo Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Price Realty,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Thackeray Co,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Whitehall Corp,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Wpr Development Co,5800,0,5800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,5025,5000,25,2022-04-18 00:00:00 +0000,36, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00142711,"",D000000100,Boeing Co,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Full Time Graduate Student,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00408260,"",D000026283,Grant Thornton LLP,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000070479,Harbinger Strategies,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00158881,"",D000000249,New York Life Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000022184,Perry Homes,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000036818,Price Realty Group,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,5000,5000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000058352,Vspring Capital,5000,0,5000,2022-04-18 00:00:00 +0000,37, , ,0,          
C00346353,"",          ,CRH Americas,4500,4500,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00411900,"",D000025642,Edwards Lifesciences,4000,4000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00114025,"",D000027877,National Ready Mixed Concrete Assn,4000,4000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",4000,4000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00088591,"",D000000170,Northrop Grumman,4000,3500,500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00469429,"",D000065616,CMR PAC,3500,3500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,3500,3500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
