pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00079681,"",D000022136,National Propane Gas Assn,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,14008,7500,6508,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000032861,Cooper Farms,13400,0,13400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,11000,10000,1000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10500,10000,500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00360354,"",D000023883,Amazon.com,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039461,"",D000024239,Ball Corp,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00024968,"",D000000194,American Optometric Assn,9000,9000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00108209,"",D000000335,Dominion Energy,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00364109,"",D000023930,America's Communications Assn,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00340075,"",          ,BASF Corp,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00227546,"",D000000115,Microsoft Corp,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00016683,"",D000000138,Pfizer Inc,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00186288,"",D000000079,Verizon Communications,7500,7500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Bard Manufacturing Co,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Bard Mfg Co,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5500,5500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00536573,"",D000066804,AbbVie Inc,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040535,"",D000000217,American Express,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000060371,Block Communications,5000,0,5000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00397851,"",D000024670,Centene Corp,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040584,"",D000025123,Consumer Healthcare Products Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00375048,"",D000025122,Consumer Technology Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00477653,"",D000000768,Cox Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00262295,"",D000000394,CTIA,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040568,"",D000000244,Marathon Oil,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00004473,"",D000022141,NTCA/Rural Broadband Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00093054,"",D000000367,Walmart Inc,4035,4000,35,2022-04-18 00:00:00 +0000,42, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,4000,4000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00525063,"",          ,Alkermes Inc,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Century Marketing,3500,0,3500,2022-04-18 00:00:00 +0000,44, , ,0,          
C00085316,"",D000000222,Cigna Corp,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00113241,"",D000027790,National Apartment Assn,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00097865,"",D000027807,National Assn of Truck Stop Operators,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00388827,"",D000066716,Rock Holdings,3500,3500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Bettcher Industries,3400,0,3400,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00274944,"",D000000540,College of American Pathologists,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00141218,"",D000000368,Exelon Corp,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000068962,Farragut Partners,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00046474,"",D000000182,Ford Motor Co,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00695239,"",          ,Messer North America,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00406215,"",D000022143,Nationwide,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00542365,"",          ,Toyota Motor North America,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Bates Recycling,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000034929,Jones Day,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000035171,Kokosing Construction,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000087072,Parker Steel,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,"Shumaker, Loop",2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
C00284885,"",D000000419,Home Depot                              ,2505,2500,5,2022-04-18 00:00:00 +0000,66, , ,0,          
C00034785,"",D000021803,ACA International,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",2500,1000,1500,2022-04-18 00:00:00 +0000,67, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00096842,"",D000000573,American Electric Power,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00006080,"",D000000192,American Health Care Assn,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00017525,"",D000000173,American Nurses Assn,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00161570,"",D000023996,American Public Power Assn,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00002881,"",D000000177,American Trucking Assns,2500,2500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
