pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000121,American Financial Group,31600,0,31600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000058503,Wellington Orthopaedics,27400,0,27400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00546119,"",          ,Select Medical Corp,21300,15000,6300,2022-04-18 00:00:00 +0000,3, , ,0,          
C00106146,"",D000000116,American Hospital Assn,20000,20000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00008839,"",D000021836,American Podiatric Medical Assn,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,14500,14500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000044475,Enerfab Inc,13800,0,13800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00284885,"",D000000419,Home Depot,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00108035,"",D000022105,McKesson Corp,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Charterhouse LLC,11200,0,11200,2022-04-18 00:00:00 +0000,13, , ,0,          
C00000422,"",D000000068,American Medical Assn,11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00096156,"",D000000334,Honeywell International,10002,10000,2,2022-04-18 00:00:00 +0000,15, , ,0,          
C00410068,"",D000021992,Fraternity & Sorority PAC,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00674465,"",D000026350,Guardian Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00441733,"",          ,Takeda Pharmaceuticals USA,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,9500,9500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,9499,9499,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000043112,AstraZeneca PLC,9000,9000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00348797,"",D000026966,"Keating, Muething & Klekamp",8900,0,8900,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Towne Construction,8800,0,8800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00251876,"",D000000391,Amgen Inc,8500,8500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Vineyard Vines,8400,0,8400,2022-04-18 00:00:00 +0000,26, , ,0,          
C00012245,"",          ,UBS Americas,7900,5000,2900,2022-04-18 00:00:00 +0000,27, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00395723,"",D000021817,Alston & Bird,7000,2500,4500,2022-04-18 00:00:00 +0000,32, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00542365,"",          ,Toyota Motor North America,7000,7000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00024968,"",D000000194,American Optometric Assn,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00353797,"",          ,Siemens Corp,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000022440,Corporex Companies,6200,0,6200,2022-04-18 00:00:00 +0000,38, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00274944,"",D000000540,College of American Pathologists,6000,6000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00227744,"",D000000098,Ernst & Young,6000,5000,1000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Central Ohio Urology Group,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Lykins Companies,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000035550,Magnolia Marketing,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000057661,Total Quality Logistics,5600,0,5600,2022-04-18 00:00:00 +0000,45, , ,0,          
C00403881,"",          ,American College of Physicians Services,5500,5500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00248716,"",D000000461,Comcast Corp,5500,5500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,5500,5500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000032578,Cincinnati Bengals,5400,0,5400,2022-04-18 00:00:00 +0000,49, , ,0,          
C00064766,"",D000000081,United Parcel Service,5008,5000,8,2022-04-18 00:00:00 +0000,50, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00324780,"",D000023902,American Academy of Emergency Medicine,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00435933,"",D000023904,American Academy of Neurology,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00410084,"",D000023934,American Clinical Laboratory Assn,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00382424,"",          ,American College of Surgeons Prof Assn,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00040535,"",D000000217,American Express,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00249342,"",D000021840,American Society of Plastic Surgeons,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
