pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Bill Gatton Chevrolet Cadillac,15800,0,15800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00608943,"",          ,ClearPath Action,15800,0,15800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00646703,"",D000070512,Winning for Women,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Harry Green Chevrolet,10800,0,10800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00448373,"",D000026537,Huck PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00236489,"",D000000186,Koch Industries,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000037554,Shutts & Bowen,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00027532,"",          ,American Maritime Officers,7500,7500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,7500,7500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00083535,"",D000000477,Duke Energy,6500,2500,4000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00359588,"",D000021679,BGR Group,6423,0,6423,2022-04-18 00:00:00 +0000,16, , ,0,          
C00386524,"",D000072145,Truist Financial,6300,0,6300,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Allegheny Wood Products,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000086452,Cole Automotive Group,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Forth Foods,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Grant County Schools,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000061828,Interstate Asphalt,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Moses Inc,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,St Joseph'S Catholic School,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096842,"",D000000573,American Electric Power,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00447565,"",D000073638,Finseca,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
