pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000052477,Jackson Hole Mountain Resort,23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00332296,"",D000029292,Susan B Anthony List,17999,3500,14499,2022-04-18 00:00:00 +0000,2, , ,0,          
C00469023,"",D000062262,Maggie's List,16500,6800,9700,2022-04-18 00:00:00 +0000,3, , ,0,          
C00388827,"",D000066716,Rock Holdings,16500,2000,14500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000034569,Hubbard Broadcasting                    ,12900,0,12900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Atlantic Solutions Group,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000044273,Black Diamond Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000047864,Bluff Point Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000060725,"Cohen, Klingenstein & Marks",11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000092455,Hmh Construction,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Pocotaligo Timber & Management Compa,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000030253,T Rowe Price,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Valmore Gp,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000058606,WHW Investment Management,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000033678,1st Financial Bank USA,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000033447,Energy Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000342,Jw Childs Assoc,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000035064,Kent Distributors,10696,0,10696,2022-04-18 00:00:00 +0000,22, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000036804,Prescott Investors,9608,0,9608,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000030189,Sunchase Holdings,9300,0,9300,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000090549,Axium Advisors,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000057271,Suit-Kote Corp,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Yates Petroleum,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000032392,Castle Harlan Inc,7900,0,7900,2022-04-18 00:00:00 +0000,32, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000083448,Charles & Potomac Capital,7106,0,7106,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Lok-N-Logs,6450,0,6450,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000083265,Charles A Klein & Sons,6400,0,6400,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000070290,Blumberg Capital,6050,0,6050,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Owl Recall Pharmacy,6000,0,6000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000022288,Trt Holdings,5822,0,5822,2022-04-18 00:00:00 +0000,40, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5813,4000,1813,2022-04-18 00:00:00 +0000,41, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Akel Wholesale Grocery,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Altamont Partners,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Ashfields Design,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Bill Cramer Chevrolet Cadillac Buick G,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000087417,Crescent Capital Group,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000060970,Development Services LLC,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000061121,Electroimpact Inc,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033412,Ellicott Development,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Elliott Investment Management,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000021972,Elliott Management,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Fountainhead Group,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000072448,Genesis Energy,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000034269,Hager Pacific Properties,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Harrison Rivard et al,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Johnstone Foods,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Kavigen,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00780809,"",          ,New Mexico Freedom Fund,5800,5800,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000036192,New Mountain Capital,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Northeast Coverages Inc,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Panhandle Pediatric Dentistry,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000036995,Red Apple Group,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000077912,Santo Petroleum,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00166553,"",D000000370,Stephens Inc,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000030138,Strata Production Co,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000031026,Wexford Capital,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00646703,"",D000070512,Winning for Women,5800,0,5800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,5799,0,5799,2022-04-18 00:00:00 +0000,82, , ,0,          
C00369660,"",D000022306,Venable LLP,5700,0,5700,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000091934,Goosehead Insurance,5316,0,5316,2022-04-18 00:00:00 +0000,85, , ,0,          
C00284885,"",D000000419,Home Depot,5146,5000,146,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Mack Co,5100,0,5100,2022-04-18 00:00:00 +0000,87, , ,0,          
C00493551,"",D000000172,MetLife Inc,5057,5000,57,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000020995,UBS AG,5050,5000,50,2022-04-18 00:00:00 +0000,89, , ,0,          
C00386524,"",D000072145,Truist Financial,5004,5000,4,2022-04-18 00:00:00 +0000,90, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00012914,"",D000000608,American Land Title Assn,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00544767,"",D000069890,Committee to Defeat the President,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",D000043561,George E Warren Corp,5000,0,5000,2022-04-18 00:00:00 +0000,91, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00450320,"",D000026670,Invest in a Strong & Secure America,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00445379,"",D000029400,Making America Prosperous,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00279497,"",D000028403,Polaris Inc,5000,0,5000,2022-04-18 00:00:00 +0000,91, , ,0,          
C00627133,"",          ,Trident PAC,5000,5000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
