pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030946,Wdp Partners,12600,0,12600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Bill Luke Chrysler/Jeep/Dodge,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000060768,Concept Development,8700,0,8700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Inductance Energy,8700,0,8700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000050335,Eagle Investments,8400,0,8400,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,11, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,7633,0,7633,2022-04-18 00:00:00 +0000,12, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,7500,7500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,21st Century Healthcare,6800,0,6800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00125641,"",D000000804,Intel Corp,6500,2000,4500,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000089013,De Rito Partners,6300,0,6300,2022-04-18 00:00:00 +0000,17, , ,0,          
C00494211,"",D000027539,Meritage Homes,6050,0,6050,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Palo Verde Cancer Center Scottsdale,5900,0,5900,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Ross Carlsson Real Estate,5900,0,5900,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Accountabilit LLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Acountabilit,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Arizona Hand & Wrist Specialists Pc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Degreen Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
