pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00349746,"",D000021885,California Dairies Inc,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000036679,Phoenix Management,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034159,Granville Homes,15400,0,15400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,13433,0,13433,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067357,S-3 Group,13400,0,13400,2022-04-18 00:00:00 +0000,6, , ,0,          
C00177469,"",D000000290,PG&E Corp,12545,11500,1045,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Advance Beverage,12500,0,12500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000070418,Lance-Kashian & Co,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022119,Mlu Services,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037717,Spencer Enterprises,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031011,Western National Group,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Yurosek Farming Co,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00428623,"",          ,Google Inc,10110,10000,110,2022-04-18 00:00:00 +0000,18, , ,0,          
C00284885,"",D000000419,Home Depot,10025,10000,25,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,10000,9500,500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00080135,"",D000024387,Blue Diamond Growers,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00345058,"",D000025059,Common Sense Common Solutions,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
