pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00359588,"",D000021679,BGR Group,34600,0,34600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000083958,Archer Auto Group,30100,0,30100,2022-04-18 00:00:00 +0000,2, , ,0,          
C00546119,"",          ,Select Medical Corp,25000,15000,10000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000063372,Shel-Don Inc,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000061210,Fagundes Dairy,15800,0,15800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00349746,"",D000021885,California Dairies Inc,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021873,Blackstone Group                        ,14725,0,14725,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000074531,Todd Strategy Group,13600,0,13600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000022111,"Mehlman, Castagnetti et al",13500,0,13500,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Ag Seeds Unlimited,12400,0,12400,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032306,Capitol Counsel,11900,0,11900,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000050284,Duarte Nursery,11500,0,11500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000035749,McManus Group,11400,0,11400,2022-04-18 00:00:00 +0000,16, , ,0,          
C00236489,"",D000000186,Koch Industries,11151,11000,151,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000043662,Sierra Process Systems,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Tuolumne Ridge LLC,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,West Star Contruction,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Yurosek Realty,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000032314,Capitol Tax Partners,10440,0,10440,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000093982,Bowyer Excavating,10225,0,10225,2022-04-18 00:00:00 +0000,23, , ,0,          
C00067231,"",D000000445,HCA Inc,10135,10000,135,2022-04-18 00:00:00 +0000,24, , ,0,          
C00108035,"",D000022105,McKesson Corp                           ,10050,10000,50,2022-04-18 00:00:00 +0000,25, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,10025,10000,25,2022-04-18 00:00:00 +0000,26, , ,0,          
C00024968,"",D000000194,American Optometric Assn,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00002261,"",D000019839,Federation of American Hospitals,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000037590,Silverstone Group,10000,0,10000,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,VALLEY CREST FARMS LLC,10000,0,10000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00251876,"",D000000391,Amgen Inc,9910,0,9910,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Black Canyon Partners LLC,9000,0,9000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000071004,Illumina Inc,8500,0,8500,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000023649,Chickasaw Nation,7925,0,7925,2022-04-18 00:00:00 +0000,36, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7870,7000,870,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,7800,0,7800,2022-04-18 00:00:00 +0000,38, , ,0,          
C00064766,"",D000000081,United Parcel Service,7665,5000,2665,2022-04-18 00:00:00 +0000,39, , ,0,          
C00034272,"",D000000568,National Chicken Council,7500,7500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000043992,Kimbell & Assoc,7300,0,7300,2022-04-18 00:00:00 +0000,41, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,7000,7000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,6800,1000,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000073431,HBW Resources,6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Ogilvy Government Relations,6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000021845,Apollo Global Management,6450,5000,1450,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000087315,Garlic Co,6200,0,6200,2022-04-18 00:00:00 +0000,47, , ,0,          
