pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00284885,"",D000000419,Home Depot                              ,10025,5000,5025,2022-04-18 00:00:00 +0000,1, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00558452,"",D000062984,Professional Compounding Centers of America,9999,9999,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,7500,5000,2500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Innovations Group,7000,0,7000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00030809,"",D000022132,National Community Pharmacists Assn,7000,7000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000037401,Scalise for Congress,7000,7000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00738260,"",          ,Point Action PAC,6500,2000,4500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00702308,"",D000072032,Advance Financial,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060646,Christian Family Pharmacy,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000068060,Clearpath Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000054560,Nephron Pharmaceuticals,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00426775,"",D000000672,Charter Communications,5001,5000,1,2022-04-18 00:00:00 +0000,16, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00113159,"",D000000744,Eastman Chemical,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00458158,"",D000045995,LKQ Corp,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00281212,"",D000000583,BAE Systems,4500,2000,2500,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000071130,Ballad Health,4400,0,4400,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Carol for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00542365,"",          ,Toyota Motor North America,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00365502,"",D000022588,BWX Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000068962,Farragut Partners,3500,0,3500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Rusty Wallace Toyota Dandridge,3400,0,3400,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Moon Group,3300,0,3300,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Pain Medicine Assoc (Tennessee),3200,0,3200,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000022111,"Mehlman, Castagnetti et al",3061,0,3061,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Don Hill Enterprises,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Hill East Group,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000036648,Petrizzo Group,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000063947,W Strategies,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000090583,Crown Laboratories,2915,0,2915,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Artazn,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Ayers Foundation,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,C&C Millwright,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000082336,Champion Chevrolet,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Everwell Specialty Pharmacy,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000033671,FirstBank,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Johnson Commercial Development,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Landair Transportation,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Lipman Distributing,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000073422,Miller Strategies,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Oman Gibson Construction,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000071801,Powell Companies,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
C00765578,"",          ,Tennessee Tough PAC,2900,2900,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Win Chemicals,2900,0,2900,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Educational Funding Of The South,2750,0,2750,2022-04-18 00:00:00 +0000,55, , ,0,          
C00160770,"",          ,Walgreens,2650,1000,1650,2022-04-18 00:00:00 +0000,56, , ,0,          
C00064766,"",D000000081,United Parcel Service,2550,2500,50,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000043350,Ahern Rentals,2500,0,2500,2022-04-18 00:00:00 +0000,58, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
C00024968,"",D000000194,American Optometric Assn,2500,2500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,2500,0,2500,2022-04-18 00:00:00 +0000,58, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,2500,2500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
C00469429,"",D000065616,CMR PAC,2500,2500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
C00785014,"",          ,Conquering Cancer PAC,2500,2500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
