pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000033379,Edison Chouest Offshore,25200,0,25200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00564377,"",          ,Chugach Alaska,22250,20000,2250,2022-04-18 00:00:00 +0000,2, , ,0,          
C00150797,"",D000000466,Blank Rome LLP,17050,5000,12050,2022-04-18 00:00:00 +0000,3, , ,0,          
C00007922,"",D000000074,Laborers Union,12000,12000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,12000,12000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00638130,"",          ,Cowboy PAC,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00027359,"",D000000140,Ironworkers Union,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00001636,"",          ,SMART Transportation Division,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,14, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,8500,8500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00286401,"",D000000145,Seafarers International Union,8500,8500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,17, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,7000,7000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,6000,6000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00112896,"",D000000303,ConocoPhillips,6000,5000,1000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037168,"Robertson, Monagle & Eastaugh",5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Str Alaska,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,35, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Chugach Alaska Pac,5000,0,5000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00337394,"",D000026279,Granite Construction,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Shakopee Nation,5000,0,5000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00431403,"",D000029716,Vote to Elect Republicans Now PAC,5000,5000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,5000,0,5000,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,4669,0,4669,2022-04-18 00:00:00 +0000,52, , ,0,          
C00068692,"",D000000089,FedEx Corp,4510,4500,10,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Samson Tug Barge,4035,0,4035,2022-04-18 00:00:00 +0000,54, , ,0,          
C00360354,"",D000023883,Amazon.com,4000,4000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00041061,"",D000023993,American Pilots Assn,4000,4000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00118208,"",D000021839,American Road & Transport Builders Assn,3500,3500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,3500,3500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C90016106,"",D000000088,AFL-CIO,3000,2500,500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00035006,"",D000000015,Chevron Corp,3000,2500,500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00072025,"",D000000221,National Rural Letter Carriers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00193672,"",D000028211,Pacific Seafood Processors Assn,3000,3000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Powers Law,3000,0,3000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00236083,"",D000028850,S&B Engineers & Constructors,3000,3000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00335091,"",D000029500,Transportation Intermediaries Assn,3000,3000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,"Band of Cahuilla Ind, Agua Caliente",2900,0,2900,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000060635,Cherokee Nation,2900,0,2900,2022-04-18 00:00:00 +0000,67, , ,0,          
