pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000089102,Bingaman & Son Lumber,41600,0,41600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Jes Foundation,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Law Office of Charles Kannebecker,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Eureka Resources LLC,7167,0,7167,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Allison Crane & Rigging,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Shaner Group,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Fred Keller for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00432096,"",D000027026,Keystone Alliance,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Perry Enterprises,5000,0,5000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Rlb Capital,5000,0,5000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ralph Alberts Co,4541,0,4541,2022-04-18 00:00:00 +0000,14, , ,0,          
C00213066,"",D000024620,Career Education Colleges & Universities,3941,0,3941,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Fairfield Auto Group,3104,0,3104,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Berkeley & Co,3000,0,3000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Faieldfield Auto Group,3000,0,3000,2022-04-18 00:00:00 +0000,17, , ,0,          
C00083758,"",D000027849,National Fuel Gas Co,3000,3000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Northeast Infrastructure LLC,3000,0,3000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Patton Logistics LLC,3000,0,3000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Penn'S Cave Inc,2900,0,2900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Hfl Corp,2780,0,2780,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000021928,Commonwealth of Pennsylvania,2521,0,2521,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000061461,Glenn O Hawbaker Inc,2521,0,2521,2022-04-18 00:00:00 +0000,24, , ,0,          
C00309781,"",D000021846,Apollo Education Group,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000039324,Asher's Chocolates,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Blaise Alexander Chevrolet,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000032289,Cme Benefits Consulting,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00364133,"",D000021963,Duane Morris LLP,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000061136,Empire Education Group,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Hummel Funeral Home,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Kreamer Feed,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Ncga,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00064766,"",D000000081,United Parcel Service,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,University of Pittsburgh Medical Center,2500,0,2500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,New Shoe Store Plus,2450,0,2450,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000061286,Fisher Mining Co,2250,0,2250,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Lundy Construction,2250,0,2250,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Savoy Contract Furniture,2200,0,2200,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000093897,Lancaster School of Cosmetology,2084,0,2084,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Selinsgrove Ford,2083,0,2083,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000087774,Weis Markets,2042,0,2042,2022-04-18 00:00:00 +0000,47, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00107300,"",          ,American Airlines,2000,0,2000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Beavertown Block Co,2000,0,2000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Conestoga Wood Specialties,2000,0,2000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00193631,"",D000000359,Farm Credit Council,2000,2000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Gannon & Assoc,2000,0,2000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Greater Susque Valley Chamber,2000,0,2000,2022-04-18 00:00:00 +0000,48, , ,0,          
