pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000030599,Uline Inc,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000091865,Speed Systems Inc,11200,0,11200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000343,Northwestern Mutual,7510,6000,1510,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Columbus Chemical Industries,6050,0,6050,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031260,Abc Supply,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000087606,Clos De La Tech,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032846,Continental Properties,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Goldleaf Development,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000087136,Harmony Homes (Wisconsin),5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034446,Herzing College,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000090943,Prent Corp,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000091413,Rytec Corp,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Sargento,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00304477,"",D000028179,Oshkosh Corp,5045,5000,45,2022-04-18 00:00:00 +0000,15, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00105981,"",D000000262,Investment Co Institute,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00114025,"",D000027877,National Ready Mixed Concrete Assn,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00377689,"",D000022207,Prosperity Action,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00545194,"",D000045170,Sentry Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Matthiesen Wickert & Lehrer,4900,0,4900,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000027574,Michels Corp,4900,0,4900,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Afk Corp,4000,0,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00106146,"",D000000116,American Hospital Assn,4000,2500,1500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000068962,Farragut Partners,4000,0,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Hovde Properties LLC,4000,0,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Preferred Title,4000,0,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00330894,"",D000037310,Ryan for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Wieser Concrete Products,3900,0,3900,2022-04-18 00:00:00 +0000,33, , ,0,          
C00096156,"",D000000334,Honeywell International,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00248716,"",D000000461,Comcast Corp,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Dhaliwal Enterprises,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00339499,"",D000022192,Pitney Bowes Inc,3000,3000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Wigwam Mills Inc,3000,0,3000,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Aurora Health Care Medical Group,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Bsg,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000092631,Delta Defense LLC,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Ellsworth Corp,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033486,Epic Systems,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000074018,Kalahari Resorts,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Mt Olympus,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Mt Olympus Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Rob'S Riverwood Salon,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000037383,Sargento Foods,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000072507,Huizenga Group,2800,0,2800,2022-04-18 00:00:00 +0000,52, , ,0,          
C00099945,"",D000029889,WEC Energy Group,2525,2500,25,2022-04-18 00:00:00 +0000,53, , ,0,          
C00132092,"",D000023866,Alliant Energy,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00360354,"",D000023883,Amazon.com,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Ansay & Assoc,2500,0,2500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00770214,"",          ,Champion American Values,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Dittmar Realty Inc,2500,0,2500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00540146,"",          ,First In Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00208322,"",D000027364,Management & Training Corp,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00697326,"",          ,On Wisconsin PAC                                  ,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,T Wall Enterprises,2500,0,2500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00603076,"",D000035853,"Michael, Best & Friedrich",2250,0,2250,2022-04-18 00:00:00 +0000,68, , ,0,          
