pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000071352,Glen Raven Inc,17400,0,17400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000037360,Sanderson Farms,16500,0,16500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Cofrm LLC,15800,0,15800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000060149,Arkansas Urology,14000,0,14000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00491506,"",D000045256,Ward & Smith,13600,2500,11100,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000060063,American Development Corp,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Industrail Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034993,Kane Realty,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Wg Blount Sons Farms,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Trent Gmc,11000,0,11000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Smith Capital Markets LLC,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000074125,Parkdale Inc,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00305052,"",          ,Protecting Integrity & Truth Together PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Transportation Impact,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,East Carolina Anesthesiology A,8650,0,8650,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000030158,STS International,8500,0,8500,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000076734,East Carolina Anesthesia Assoc,8050,0,8050,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Piggly Wiggly,7900,0,7900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Time Investment,7300,0,7300,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Carolina East Urology,6300,0,6300,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Dr Mark W Johnson PA,6130,0,6130,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000031893,Bell Legal Group,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Bill Clark Homes                                  ,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000088131,Cameron Management (North Carolina),5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000090471,CPFRM LLC,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000085729,Curis Inc,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Davis Shore Bed & Breakfast,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,East Carolina Ent,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Flatlands Jessup Insurance Group,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Garden & Gun Magazine,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000072026,Hamilton Point Investments,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Hammock Source,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Integrated Medical Professiona,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Know Bio LLC,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Lgm Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000077903,Platinum Corral,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,The Boathouse,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Time Investments,5800,0,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Trivantage,5700,0,5700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Eastern Carolina Ent,5500,0,5500,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Eastern Radiologists,5500,0,5500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00418582,"",D000029511,EmergeOrtho,5250,5000,250,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Colony Tire,5150,0,5150,2022-04-18 00:00:00 +0000,49, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00083535,"",D000000477,Duke Energy,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00552851,"",D000068902,House Freedom Fund,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Jetcraft Corp,5000,0,5000,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Lcm Enterprises,5000,0,5000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
