pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030924,Watco Companies,27550,0,27550,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000091804,Onyx Collection,25200,0,25200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Mid America Pipe,21600,0,21600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000045008,Miller'S Professional Imaging,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000036054,Murfin Drilling,16300,0,16300,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Home Infusion Specialists,16200,0,16200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Ortho4states,13300,0,13300,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Advisors Excel,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Aspire Health Plans,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031915,Berexco Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000084375,Conestoga Energy Partners,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Foley Industries,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000087343,Icm Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000081159,Jake'S Fireworks,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Mechanical Systems Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Mel Hambelton Ford,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00450692,"",D000046017,Poet LLC,10800,5000,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Silver Lake Bank,10772,0,10772,2022-04-18 00:00:00 +0000,21, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00236489,"",D000000186,Koch Industries,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Pepsi Cola,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Cohen-Esry Real Estate,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Gulf Coast Commercial,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Omf Surgeon,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Winter Livestock,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,30, , ,0,          
C00346353,"",          ,CRH Americas,7000,7000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Ogilvy Government Relations,6000,0,6000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Mtm Petroleum,5900,0,5900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000853,Coulter Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000032957,Crossland Construction,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Devlin Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Emcon Inc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
C00000059,"",D000000474,Hallmark Cards,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Hatfield Motors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000088178,Hein Governmental Consulting,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Jp Wiegand,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000086505,Ldf Companies,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Lee Aerospace,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000087141,Legend Senior Living,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Midwest Health Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Miller Professional Imaging,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000062688,Northrock Inc,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ortho4state,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Owner of Genesis Health Clubs,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036716,Plaid Giraffe,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Play Courageously,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Real Estate Investment Development,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Srs Plastics,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Steven Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000058226,Vess Oil Corp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,March Oil,5600,0,5600,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Retired/Russell Stovers,5600,0,5600,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000051780,Herzog,5400,2500,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5250,5000,250,2022-04-18 00:00:00 +0000,72, , ,0,          
C00063164,"",D000000373,McDonald's Corp,5030,0,5030,2022-04-18 00:00:00 +0000,73, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00345058,"",D000025059,Common Sense Common Solutions,5000,5000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00410720,"",          ,Federal Home Loan Bank of Topeka,5000,5000,0,2022-04-18 00:00:00 +0000,74, , ,0,          
