pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000092409,Brett Robinson Real Estate,27450,0,27450,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Venture Group,15800,0,15800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00077305,"",          ,Alabama Power,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00457242,"",          ,Blue Cross/Blue Shield of Alabama,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035550,Magnolia Marketing,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000082368,Master Boat Builders,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000041285,Cooper/T Smith Corp,10000,0,10000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Pepsi Cola Bottling Co of Atmore,10000,0,10000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Springhill Automotive,9200,0,9200,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000043928,White-Spunner Construction,8800,0,8800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00421230,"",D000025729,Airbus Group,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00369058,"",D000022304,Van Scoyoc Assoc,8000,0,8000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,7900,0,7900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000685,Re/Max Realty,6500,0,6500,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Columbia Southern University,6000,0,6000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000083751,Ierus Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,McInnis Co,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00516864,"",          ,Austal USA,5600,5600,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Caribe Realty,5600,0,5600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00078451,"",D000000165,General Dynamics,5500,5500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Spriggs Enterprises,5400,0,5400,2022-04-18 00:00:00 +0000,24, , ,0,          
C00226472,"",D000023754,Adams & Reese,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Budweiser Busch Dist Co,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Buffalo Rock,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Core Industries,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Flora-Bama Package & Lounge,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000051477,Great Southern Wood Preserving,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Gulf Distributing,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
