pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034569,Hubbard Broadcasting                    ,16000,0,16000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000085583,Coldspring Inc,15800,0,15800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000062026,King Capital,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Frauenshuh Inc,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Gold River Group,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037002,Red Wing Publishing,9000,0,9000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,15, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,7633,0,7633,2022-04-18 00:00:00 +0000,16, , ,0,          
C00445379,"",D000029400,Making America Prosperous,7000,7000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Lindsay Windows,6000,0,6000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Advantage Dist LLC,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031546,Anderson Trucking Service,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Cambria,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Davis Family Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000061349,Frandsen Corp,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Granite Logistics,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Linda Lee Charters,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000067198,Meagher & Geer,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,New Fashion Pork,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000071915,Rockwood Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000063194,Rosens Diversified,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000063213,Rtp Co,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Trautz Properties,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022294,University of Minnesota,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Commodity Specialist Co,5000,0,5000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000033046,Dart Transit,5000,0,5000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00592089,"",          ,Electing Majority Making Effective Republicans,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00193631,"",D000000359,Farm Credit Council,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00307777,"",D000025919,Freedom Club,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00753863,"",          ,Making A Difference In Service to Our Nation PAC,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Ready Mix Concrete,5000,0,5000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00398750,"",D000022152,New PAC,4500,4500,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000030698,University of Wisconsin,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000030893,Walser Automotive Group,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Hbi,3900,0,3900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Youngdahl Insurance,3900,0,3900,2022-04-18 00:00:00 +0000,61, , ,0,          
