pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Absolute Machine Tools,15600,0,15600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00552851,"",D000068902,House Freedom Fund,15510,5000,10510,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000093982,Bowyer Excavating,14400,0,14400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000052477,Jackson Hole Mountain Resort,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000811,Kirkland & Ellis,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Plastic Engineering Technical Services,10200,0,10200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000044156,Brown Gibbons Lang & Co,8700,0,8700,2022-04-18 00:00:00 +0000,8, , ,0,          
C00236489,"",D000000186,Koch Industries,7555,7500,55,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Mill Casino,7420,0,7420,2022-04-18 00:00:00 +0000,10, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021754,Apple Inc,6325,0,6325,2022-04-18 00:00:00 +0000,12, , ,0,          
C00349902,"",          ,Ohio Credit Union League,6000,5000,1000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Re Becker Builders,6000,0,6000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Everyday Manufacturing Co,5900,0,5900,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Kenoil Inc,5900,0,5900,2022-04-18 00:00:00 +0000,15, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032966,Crown Equipment,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Dayton Co,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00326439,"",D000022031,HOUSE CONSERVATIVES FUND,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000056062,Resmed Inc,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Wells Capital,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000064021,Western Mutual Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Woodforest National Bank,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000083958,Archer Auto Group,5750,0,5750,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Ortner Co,5600,0,5600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Colepak,5500,0,5500,2022-04-18 00:00:00 +0000,30, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00653188,"",D000024478,Broadcast Music Inc,5000,5000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00295527,"",D000024850,Citizens United,5000,5000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Crawford County,5000,0,5000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000033185,Discovery Operating,5000,0,5000,2022-04-18 00:00:00 +0000,31, , ,0,          
