pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00702308,"",D000072032,Advance Financial,22800,1200,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,R&S Northeast,14200,0,14200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Custom Packaging,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033041,Dapco Investments,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Hemphill Brothers Inc,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Jones Brothers Inc,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000063351,Servpro Industries,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000060646,Christian Family Pharmacy,11200,0,11200,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Baggetts,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000085781,Research Electronics International,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,McNabb Rental,10600,0,10600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Oakley & Oakley,10600,0,10600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000090485,One Bank of Tennessee,10150,0,10150,2022-04-18 00:00:00 +0000,14, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Cumberland Container,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Cookeville Regional Medical Ce,7900,0,7900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Cumberland Supply Co                              ,7000,0,7000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,7000,7000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,6800,1000,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Ngu Risk Management,6300,0,6300,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,ESC Lab Sciences,6000,0,6000,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000031729,Averitt Express,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Beaman Automotive Group,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Boson Software LLC,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Carroll Homes,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Copeland Veterinary Hospital,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000086725,Covenant Health,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Food Warming Equipment Co,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
