pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034812,JB Coxwell Contracting,23700,0,23700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000089703,Frp Holdings,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Hutson Companies LLC,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Petro Services,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000037125,Ring Power Corp,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Tmm Inc,20000,0,20000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000080122,Greenpointe Holdings,15800,0,15800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000091909,Gc Land Development,10800,0,10800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000061852,Island Doctors,10800,0,10800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00151787,"",          ,Cubic Corp,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,O'Steen Automotive Group,10000,0,10000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00286401,"",D000000145,Seafarers International Union,8500,8500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00281212,"",D000000583,BAE Systems,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00147231,"",D000025191,Crowley Maritime,6000,6000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00763623,"",D000073362,Anduril Industries,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000079471,Cecil W Powell & Co,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000076630,Drummond Press,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Harden & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00142711,"",D000000100,Boeing Co,5500,5500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00034488,"",          ,Anheuser-Busch,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00478149,"",D000053012,Black Knight Inc,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,First Coast Security,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00075341,"",D000000355,Motorola Solutions,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00411694,"",          ,Saltchuk Resources,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00234120,"",D000029610,US Sugar,5000,2500,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00235036,"",          ,Zurich Insurance,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00078451,"",D000000165,General Dynamics,4500,4500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,4250,0,4250,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Shannon Miller Foundation,4200,0,4200,2022-04-18 00:00:00 +0000,34, , ,0,          
C00163832,"",D000000148,CSX Corp,3900,1000,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
C00126847,"",D000026937,Kaman Corp,3500,3500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Peck Madigan Jones,3000,0,3000,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,AAMCO Transmissions & Total Car Care,2900,0,2900,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Demetree Brothers,2900,0,2900,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Dr Reylan,2900,0,2900,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,3d Digital Solutions LLC,2500,0,2500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,2500,2500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
