pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000092340,New York Cancer & Blood Specialists,98300,0,98300,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000074531,Todd Strategy Group,20600,0,20600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00343459,"",D000021829,American College of Radiology,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00325936,"",D000022257,Society of Thoracic Surgeons,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00351197,"",D000021834,American Society of Interventional Pain Physicians,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,11500,11500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000043112,AstraZeneca PLC,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000087764,Wabash Plastics,10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000088228,Warehouse Services Inc,10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000042474,Roche Holdings,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00542365,"",          ,Toyota Motor North America,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
