pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Alan R Ostergren Pc,29994,0,29994,2022-04-18 00:00:00 +0000,1, , ,0,          
C00166553,"",D000000370,Stephens Inc,17400,0,17400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Calverhall,15800,0,15800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00284885,"",D000000419,Home Depot,12541,12500,41,2022-04-18 00:00:00 +0000,4, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Crst,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000037717,Spencer Enterprises,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030377,Third Point LLC                         ,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00204099,"",D000000408,Deere & Co,10133,10000,133,2022-04-18 00:00:00 +0000,13, , ,0,          
C00469429,"",D000065616,CMR PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000044899,Hillwood Development,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00566851,"",          ,"Jobs, Opportunity & New Ideas PAC",10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00349225,"",          ,National Assn of Spine Specialists,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000058164,Valueact Capital,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00765982,"",          ,STAND FOR AMERICA PAC,9450,7900,1550,2022-04-18 00:00:00 +0000,23, , ,0,          
