pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00450692,"",D000046017,Poet LLC,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034569,Hubbard Broadcasting                    ,14500,0,14500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00277988,"",D000029888,Winthrop & Weinstine,13500,0,13500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000086971,Arvig Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Granite Logistics,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00104802,"",D000000350,Delta Air Lines,10826,5000,5826,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000085583,Coldspring Inc,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000062026,King Capital,7800,0,7800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00076182,"",D000027897,National Turkey Federation,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031546,Anderson Trucking Service,6800,0,6800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Northland Paving,6000,0,6000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Davis Family Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000033447,Energy Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000061349,Frandsen Corp,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000071915,Rockwood Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000063213,Rtp Co,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Trautz Properties,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,5799,0,5799,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033046,Dart Transit,5600,0,5600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Doherty,5600,0,5600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Walser Auto Group,5600,0,5600,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000050761,Fairview Health Services,5010,0,5010,2022-04-18 00:00:00 +0000,47, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00307777,"",D000025919,Freedom Club,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00384354,"",          ,Michigan Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000037002,Red Wing Publishing,5000,0,5000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000030189,Sunchase Holdings,5000,0,5000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,5000,5000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Frauenshuh Inc,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000022294,University of Minnesota,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000091934,Goosehead Insurance,3866,0,3866,2022-04-18 00:00:00 +0000,60, , ,0,          
C00416297,"",D000000431,National Cotton Council,3500,3500,0,2022-04-18 00:00:00 +0000,61, , ,0,          
C00599084,"",D000043213,Plains Cotton Growers,3500,3500,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,3000,3000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,63, , ,0,          
