pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Zion Enterprises,23200,0,23200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,19500,18500,1000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000033678,1st Financial Bank Usa,16600,0,16600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Propac Corp,15800,0,15800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00469429,"",D000065616,CMR PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000058706,Word & Brown,15000,0,15000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00765982,"",          ,Stand For America Pac,14892,10000,4892,2022-04-18 00:00:00 +0000,8, , ,0,          
C00284885,"",D000000419,Home Depot,12687,12500,187,2022-04-18 00:00:00 +0000,9, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,12150,7735,4415,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000086792,Lawrence Equipment,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Hb Real Estate LLC,11200,0,11200,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Acap Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000032080,Bp Industries,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Lookout Investments,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,S Lin Dental,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,South Pole,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Wicked Fashions,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Younes Safa DDS,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Shake-N-Go Fashion,10400,0,10400,2022-04-18 00:00:00 +0000,26, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10070,10000,70,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040253,"",D000000632,Allstate Insurance,10016,10000,16,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Active USA,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Central Ford,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00390161,"",D000025728,Eureka PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00683508,"",          ,Forever YOUNG PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00450320,"",D000026670,Invest in a Strong & Secure America,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00068528,"",          ,Pacific Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,YT Hwang Family Foundation,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,8565,8500,65,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000037380,Sares-Regis Group,8355,0,8355,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000037346,Los Angeles Chargers,8300,0,8300,2022-04-18 00:00:00 +0000,45, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00433060,"",D000029531,Republican Governance Group,8000,8000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000092218,3 Plus Logistics,7900,0,7900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000061724,Horowitz Group,7900,0,7900,2022-04-18 00:00:00 +0000,48, , ,0,          
