pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00303024,"",D000000104,Lockheed Martin,65750,15000,50750,2022-04-18 00:00:00 +0000,1, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,42200,20000,22200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00078451,"",D000000165,General Dynamics                        ,37500,13000,24500,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031477,American Defense International,30000,0,30000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00215285,"",D000000317,General Atomics,21800,10000,11800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00281212,"",D000000583,BAE Systems,16961,15000,1961,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,16800,0,16800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,16480,15000,1480,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035759,McWane Inc,16000,0,16000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,JA Green Co,15609,0,15609,2022-04-18 00:00:00 +0000,10, , ,0,          
C00077305,"",          ,Alabama Power,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00275123,"",          ,Leonardo DRS,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,14500,13500,1000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000086581,Aronov Realty Co,13700,0,13700,2022-04-18 00:00:00 +0000,16, , ,0,          
C00096156,"",D000000334,Honeywell International,13400,10500,2900,2022-04-18 00:00:00 +0000,17, , ,0,          
C00088591,"",D000000170,Northrop Grumman,12500,12500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00365502,"",D000022588,BWX Technologies,12000,12000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021923,Collazo Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000043128,Elbit Systems,11000,10000,1000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000051477,Great Southern Wood Preserving,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Hanning & Bean LLC,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000043227,Trans-Global Solutions,10800,0,10800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00142711,"",D000000100,Boeing Co,10500,10500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00161414,"",          ,Protective Life Corp,10400,7500,2900,2022-04-18 00:00:00 +0000,26, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00151787,"",          ,Cubic Corp,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00160630,"",D000025591,Drummond Co,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00657262,"",          ,Go PAC Go,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000070479,Harbinger Strategies,10000,0,10000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00546234,"",D000000369,Leidos Inc,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000055841,Qualis Corp,10000,0,10000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000067357,S-3 Group,9809,0,9809,2022-04-18 00:00:00 +0000,37, , ,0,          
C00123612,"",D000000201,Textron Inc,9500,4500,5000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000082098,Holly Strategies,9384,0,9384,2022-04-18 00:00:00 +0000,39, , ,0,          
C00129122,"",          ,Aerojet Rocketdyne,8000,8000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,7900,0,7900,2022-04-18 00:00:00 +0000,41, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7750,7500,250,2022-04-18 00:00:00 +0000,42, , ,0,          
C00027532,"",          ,American Maritime Officers,7500,7500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00211318,"",D000000131,Deloitte LLP,7500,7500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00075341,"",D000000355,Motorola Solutions,7500,7500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Wilson Holdings Inc,7300,0,7300,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000057934,United Launch Alliance,7250,0,7250,2022-04-18 00:00:00 +0000,47, , ,0,          
C00731414,"",D000072270,Amentum Services,6500,6000,500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00359588,"",D000021679,BGR Group,5990,0,5990,2022-04-18 00:00:00 +0000,50, , ,0,          
