pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00039578,"",D000000433,Council of Insurance Agents & Brokers,17500,17500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000068865,Concast Metal Products,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,8500,7500,1000,2022-04-18 00:00:00 +0000,8, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033417,Ellwood Group,7800,0,7800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000037100,Richards & Assoc,7792,0,7792,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109546,"",D000022303,Valero Energy,7500,7500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,McClymonds Trucking,6800,0,6800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00340943,"",D000021951,DaVita Inc,6500,6500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,6500,6500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,6000,6000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000034485,Hitchcock Automotive Resources,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Jim Norton Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000045151,Rosebud Mining,5500,0,5500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00076810,"",D000000155,General Motors,5001,5000,1,2022-04-18 00:00:00 +0000,20, , ,0,          
C00106146,"",D000000116,American Hospital Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00358663,"",D000021838,American Resort Development Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000070419,Amerikohl Mining,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Butler Business Systems,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00085316,"",D000000222,Cigna Corp,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00660902,"",D000069689,CNX Resources,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060854,Cronimet Corp,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Day Automotive Group,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00227744,"",D000000098,Ernst & Young,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00016683,"",D000000138,Pfizer Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,PNC Bank Corp,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00542365,"",          ,Toyota Motor North America,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00236414,"",          ,TransAmerica,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00339655,"",          ,US Oncology,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Cipriani & Werner,4000,0,4000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00447565,"",D000073638,Finseca,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00458158,"",D000045995,LKQ Corp,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
