pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00646703,"",D000070512,Winning for Women                                 ,46400,0,46400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00428623,"",          ,Google Inc,15900,10000,5900,2022-04-18 00:00:00 +0000,2, , ,0,          
C00284885,"",D000000419,Home Depot,15059,15000,59,2022-04-18 00:00:00 +0000,3, , ,0,          
C00236489,"",D000000186,Koch Industries,15025,15000,25,2022-04-18 00:00:00 +0000,4, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00186288,"",D000000079,Verizon Communications,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,13000,13000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021943,Crow Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060970,Development Services LLC,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031179,Yancey Brothers,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Frampton Construction Co,11454,0,11454,2022-04-18 00:00:00 +0000,16, , ,0,          
C00771196,"",D000089168,Veterans Guardian VA Claim Consulting,11450,0,11450,2022-04-18 00:00:00 +0000,17, , ,0,          
C00379628,"",D000028057,Nucor Corp                              ,10801,5000,5801,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Meridian Health Plan,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Caldwell Partners,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Container Maintenance Corp,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Koozer Painting,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00765982,"",          ,Stand for America PAC,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Tom Ford International,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,9500,4500,5000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000000772,Station Casinos,9324,0,9324,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Consumer Credit Innovations,8400,0,8400,2022-04-18 00:00:00 +0000,31, , ,0,          
C00445379,"",D000029400,Making America Prosperous,8000,8000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000023074,US Air Force,7967,0,7967,2022-04-18 00:00:00 +0000,33, , ,0,          
C00326330,"",D000029728,Waffle House Inc,7900,5000,2900,2022-04-18 00:00:00 +0000,34, , ,0,          
C00771592,"",D000084244,Canopy Growth Corp,7800,1000,6800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Charles Schwab & Co,7633,0,7633,2022-04-18 00:00:00 +0000,36, , ,0,          
C00248716,"",D000000461,Comcast Corp,7500,7500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",7500,7500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000087188,Star Service,7500,0,7500,2022-04-18 00:00:00 +0000,37, , ,0,          
C00068692,"",D000000089,FedEx Corp,7022,7000,22,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000033307,Dunlap & Kyle,7000,0,7000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00361758,"",D000022272,T-Mobile USA,7000,7000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00142711,"",D000000100,Boeing Co,6108,6000,108,2022-04-18 00:00:00 +0000,43, , ,0,          
C00076810,"",D000000155,General Motors,6010,6000,10,2022-04-18 00:00:00 +0000,44, , ,0,          
C00359588,"",D000021679,BGR Group,6000,0,6000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,South Carolina Federal Credit Union,6000,0,6000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00040394,"",D000000480,Williams Companies,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00064766,"",D000000081,United Parcel Service,5814,0,5814,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000022288,Trt Holdings,5806,0,5806,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000021912,Citadel LLC,5802,0,5802,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Aos American One Source,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000060243,Banks Construction,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000032576,Ciena Healthcare Management,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000068060,Clearpath Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Cnt Foundations LLC,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000032749,Collum's Lumber Products,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Continental Property Co,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000066619,Cumberland Development,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Export Tax Management,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Fork Sand,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,G&H Mabee Family Ranch,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000043982,GAMCO Investors,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Genesis Global Sourcing,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000074176,Gonsoulin Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000069491,Great Point Partners,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000061881,Jane Street Capital,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000000342,JW Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Ksa Insurance LLC,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000053016,Lennar Corp,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
