pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000089167,Advanced Fixtures Inc,21600,0,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021943,Crow Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000061285,Fisher Investments,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000080866,Blackridge (Texas),10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Peinado Construction,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Rockhill Capital & Investments,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,8615,8615,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Saro Partners LLC,8400,0,8400,2022-04-18 00:00:00 +0000,10, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,8244,8244,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00672733,"",          ,Bulldog PAC,7000,7000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000089857,Bandera Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Divvy It Up Holdings Lp,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000085795,Ledwell & Son Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Sapient Designs,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Southridge Park LLC,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Southwest Plumbing,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Activepure Technologies LLC,5600,0,5600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000044899,Hillwood Development,5600,0,5600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00631051,"",          ,Abraham Lincoln PAC,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00756551,"",          ,American Grit PAC,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Candidate for State Representative,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Corgan,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00571216,"",          ,Defending American Values Everywhere,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00764472,"",          ,Gads PAC,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Literacy Council of Clinton,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Llama Sisters Designs LLC,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00113241,"",D000027790,National Apartment Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Plz Corp,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Rex Real Estate,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Leiser Family Partnership,4200,0,4200,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,"The Leiser Family, Partnership",4200,0,4200,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Intake Coordinator,3750,0,3750,2022-04-18 00:00:00 +0000,37, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,3500,3500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Tabran Enterprises,3500,0,3500,2022-04-18 00:00:00 +0000,38, , ,0,          
