pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00450692,"",D000046017,Poet LLC,25000,20000,5000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Wells Enterprises,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036062,Musco Lighting,20000,0,20000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000094208,Summit Agricultural Group,18300,0,18300,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Premier Communications,17650,0,17650,2022-04-18 00:00:00 +0000,5, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,17500,17500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00475665,"",D000045973,Growth Energy,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00284885,"",D000000419,Home Depot,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000063051,Rasmussen Group,15000,0,15000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00713669,"",D000061524,Green Plains,12900,10000,2900,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000088974,Cottingham & Butler,12500,0,12500,2022-04-18 00:00:00 +0000,12, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,12000,12000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030599,Uline Inc,11800,0,11800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031179,Yancey Brothers,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00536466,"",D000056025,Renewable Energy Group,11105,10000,1105,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000083990,Bluewater International,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Capm,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Compass Point Group,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
