pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Sullivan Interests,18266,0,18266,2022-04-18 00:00:00 +0000,1, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000062355,McCorvey Sheet Metal Works,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00552851,"",D000068902,House Freedom Fund,10800,5000,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Sullivan Land & Cattle Co,10133,0,10133,2022-04-18 00:00:00 +0000,5, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000077267,"Jefferson County, TX",7900,0,7900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00142711,"",D000000100,Boeing Co,6250,6000,250,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Azhar Chaudhary Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Family Health Clinic,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Fuel 2 Go LLC,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,John L Wortham & Son-Retired,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Marathon Group,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,T&T Marine Salvage,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Teichman Group,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Williams Party Boats,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Action Restoration,5700,0,5700,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000092242,Community Toyota,5700,0,5700,2022-04-18 00:00:00 +0000,18, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00573626,"",          ,Lee PAC,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002790,"",D000028131,Olin Corp,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00215384,"",D000028149,ONEOK Inc,5000,5000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,4815,4815,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Griffith Moseley Johnson,4200,0,4200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Assuredpartners,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Texas First Bank,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Garver Real Estate-Retired,3800,0,3800,2022-04-18 00:00:00 +0000,32, , ,0,          
C00076810,"",D000000155,General Motors,3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00308478,"",D000029615,USA Rice Federation,3500,3500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Commerce Equities,3450,0,3450,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Burrow Global,3400,0,3400,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000082403,Itex Group,3400,0,3400,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000087603,Giglio Distributing,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00349373,"",          ,Gulf States Toyota,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00445379,"",D000029400,Making America Prosperous,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00471565,"",          ,Zachry Holdings,3000,3000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,2900,2900,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000048076,Buffalo Marine Service,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Coastal Solutions Inc,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000050006,David Weekley Homes,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Del Papa Distribution Co,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
C00783761,"",          ,End Litter Now PAC,2900,2900,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Gcm,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Gulfspan Industrial,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Jefferson County,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Karen & Bob Wortham Charitable Foundat,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Phyllis Foster Real Estate,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Sugar Bean Coffee & Cream,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Sullivan Land Services,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Synergos Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000043227,Trans-Global Solutions,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
C00692087,"",          ,Victory & Nation PAC,2900,2900,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Ybarra Investments,2900,0,2900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Dance,2800,0,2800,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000031076,Williams Brothers Construction,2800,0,2800,2022-04-18 00:00:00 +0000,62, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Apple Towing,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000053939,Moran Exploration,2500,0,2500,2022-04-18 00:00:00 +0000,64, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
