pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000075314,Waypoint Consulting,11050,0,11050,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000037360,Sanderson Farms,10700,0,10700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00546234,"",D000000369,Leidos Inc,9500,9500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000072046,US Marine Inc,7600,0,7600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00479899,"",D000031142,Woolpert Inc,6300,3500,2800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00358440,"",D000021862,Balch & Bingham,6250,3000,3250,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Corporate Capital,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Halter Marine,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000068974,Harvey Gulf International Marine,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Maritime Partners,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Guard Unit LLC,5750,0,5750,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031181,Yates Construction,5600,0,5600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00321802,"",          ,VT Halter Marine,5500,5500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00208322,"",D000027364,Management & Training Corp,5100,2600,2500,2022-04-18 00:00:00 +0000,14, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00730903,"",D000023153,Mississippi Farm Bureau,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00144147,"",          ,Mississippi Power,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00202184,"",D000027883,National Rural Water Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00414896,"",D000028180,Osi Systems,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000086501,Southern Tire Mart,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00363879,"",D000000255,Entergy Corp,4800,1500,3300,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000063780,Trinity Yachts,4600,0,4600,2022-04-18 00:00:00 +0000,30, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,4500,0,4500,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000033509,Ervin Graves Strategy Group,4500,0,4500,2022-04-18 00:00:00 +0000,31, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,4000,4000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00193631,"",D000000359,Farm Credit Council,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00308478,"",D000029615,USA Rice Federation,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00111534,"",D000026905,Jones Walker LLP,3200,1000,2200,2022-04-18 00:00:00 +0000,36, , ,0,          
C00300707,"",D000000786,Accenture,3000,3000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3000,3000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00163832,"",D000000148,CSX Corp,3000,3000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00004952,"",D000011390,Mississippi ACRE,3000,3000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00075341,"",D000000355,Motorola Solutions,3000,3000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000032312,Capitol Resources,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000033503,Ergon Inc,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000051267,Geocent LLC,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Golding Barge,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Magnolia Marine Transport,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000023643,Mississippi Band Of Choctaw Indians,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Off Shore Vessel LLC,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Research First,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Seymour Engineering PLLC,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
C00408500,"",D000029365,Telapex Inc,2900,2900,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Us Joiner Llc,2900,0,2900,2022-04-18 00:00:00 +0000,42, , ,0,          
C00625921,"",D000046283,AAR Corp,2800,0,2800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,LH Fore Construction,2800,0,2800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Optimal Geo,2800,0,2800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Seymour Engineering,2800,0,2800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Msab,2775,0,2775,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000056580,Seemann Composites,2750,0,2750,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Merchent'S Forestry Services Llc,2600,0,2600,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,ACME General,2500,0,2500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Anita & General Buff Blount,2500,0,2500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00440651,"",D000025467,Denbury Inc,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00035204,"",D000000379,Energy Marketers of America,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000034556,Howard Industries,2500,0,2500,2022-04-18 00:00:00 +0000,60, , ,0,          
C00437491,"",          ,IDEMIA Identity & Security,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00299321,"",D000000193,MGM Resorts International,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00034272,"",D000000568,National Chicken Council,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00416297,"",D000000431,National Cotton Council,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00411116,"",D000029147,SpaceX,2500,2500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,2337,2337,0,2022-04-18 00:00:00 +0000,75, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000049114,"City of Richmond, VA",2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00757898,"",D000049283,Clark Street Assoc,2000,1000,1000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00451518,"",          ,Crowe LLP,2000,2000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Feb Distributing,2000,0,2000,2022-04-18 00:00:00 +0000,76, , ,0,          
