pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00448696,"",D000028985,Senate Conservatives Fund,178785,5000,173785,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,178521,2850,175671,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036810,Prestage Farms,23050,0,23050,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000087344,Budd Group,22860,0,22860,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Diamondback Investment Group,22400,0,22400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000091288,Hathaway Investment Properties,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000090495,Cadrillion Capital,17500,0,17500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000064145,Flow Automotive,17400,0,17400,2022-04-18 00:00:00 +0000,8, , ,0,          
C00771196,"",D000089168,Veterans Guardian VA Claim Consulting,16605,0,16605,2022-04-18 00:00:00 +0000,9, , ,0,          
C00386524,"",D000072145,Truist Financial,15830,5000,10830,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000092681,Fred Smith Co,14850,0,14850,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Deacon Jones Auto Group,13750,0,13750,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Affinity Living Group Senior Care,11800,0,11800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Independent Agent,11635,0,11635,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Financial Independence Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Inv,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000052376,Iomax USA,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00552778,"",D000070990,Live Oak Bank,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Richard Bruch MD,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000044060,Saulsbury Industries,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000049884,Crownquest Operating,11500,0,11500,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000087924,Randy Marion Automotive Group,11350,0,11350,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000070960,CaptiveAire Systems,11200,0,11200,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Integrity Marketing,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000034993,Kane Realty,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Mission Hospital,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Ragnar Partners,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Salem National Lease,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Teague Natural Farms,10800,0,10800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00496836,"",D000064974,Old Dominion Freight Line,10633,0,10633,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000043525,Dh Griffin Companies,10200,0,10200,2022-04-18 00:00:00 +0000,31, , ,0,          
C00692806,"",D000000310,American Property Casualty Insurance Assn,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00420695,"",D000026825,JPAC (South Carolina),10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Cfsmith Property Group,9900,0,9900,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Time Investment,9800,0,9800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031083,Williams Mullen,9700,0,9700,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000060255,Barnhill Contracting,9500,0,9500,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Stancil Builders,9300,0,9300,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Ted Budd for Senate,8714,0,8714,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Morris International,8700,0,8700,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,River Wild,8700,0,8700,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Carolina Hosiery,8600,0,8600,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Rci,8600,0,8600,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Knott & Boyle,8400,0,8400,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000030877,Wake Forest University,7900,0,7900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000029903,Womble Bond Dickinson,7875,0,7875,2022-04-18 00:00:00 +0000,46, , ,0,          
C00690735,"",D000032643,CGCN Group,7800,2000,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Tucker Farms,7400,0,7400,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Kevin,7275,0,7275,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000090460,Murphy Family Ventures,7000,0,7000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000021982,Fierce Government Relations,6800,0,6800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000020995,UBS AG,6800,0,6800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000037091,Rich Feuer Anderson,6620,0,6620,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Kapstone Medical,6500,0,6500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000067697,American Airlines Group,6481,0,6481,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Frank,6300,0,6300,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Hog Slat,6300,0,6300,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Uipath,6300,0,6300,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Chroma Color,6010,0,6010,2022-04-18 00:00:00 +0000,60, , ,0,          
C00418582,"",D000029511,EmergeOrtho,6000,5000,1000,2022-04-18 00:00:00 +0000,61, , ,0,          
C00003855,"",D000027831,National Confectioners Assn,6000,6000,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Csa,5825,0,5825,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000061852,Island Doctors,5818,0,5818,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,American Home Furnishings Hall of Fame,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,American National Bank & Trust,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Ardent,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Ascension Marketing Group,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Automotive-Dealer,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Bhc,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000083182,Blockchain Assn,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Bradley Built,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Cpa/Real Estate Investor & Developer,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Etcare Inc,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000074204,Grady-White Boats,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Green Resource,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Healthcare Investors of America,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000083491,Healthgram Inc,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Hillbrook Limited/Education Center,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,IMG College,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Inmar,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Jarrett Bay Boatworks,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Joyce Foods Inc Dba Joyce Farms,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Lee-Moore Capital Co,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
