pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,105500,0,105500,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031546,Anderson Trucking Service,27400,0,27400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000092636,Leamington Co                                     ,23600,0,23600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000033046,Dart Transit,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000068987,Element Electronics,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000062026,King Capital,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00104802,"",D000000350,Delta Air Lines,20041,20000,41,2022-04-18 00:00:00 +0000,7, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,20034,20000,34,2022-04-18 00:00:00 +0000,8, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,20026,20000,26,2022-04-18 00:00:00 +0000,9, , ,0,          
C00326595,"",D000021891,Capital One Financial,20000,20000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Professional Property Management,18600,0,18600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034569,Hubbard Broadcasting                    ,18430,0,18430,2022-04-18 00:00:00 +0000,12, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,18000,18000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000086971,Arvig Enterprises,17400,0,17400,2022-04-18 00:00:00 +0000,14, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,16500,16500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00279497,"",D000028403,Polaris Inc,16000,5000,11000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00012245,"",          ,UBS Americas,16000,15000,1000,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000067823,Alphabet Inc,15164,15000,164,2022-04-18 00:00:00 +0000,18, , ,0,          
C00300178,"",D000019743,Wells Fargo,15150,15000,150,2022-04-18 00:00:00 +0000,19, , ,0,          
C00186288,"",D000000079,Verizon Communications,15110,15000,110,2022-04-18 00:00:00 +0000,20, , ,0,          
C00034157,"",D000000126,AFLAC Inc,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00676544,"",D000037784,Starkey Hearing Technologies,14000,0,14000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000031519,Ames Construction,12900,0,12900,2022-04-18 00:00:00 +0000,30, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,12650,5000,7650,2022-04-18 00:00:00 +0000,31, , ,0,          
C00158881,"",D000000249,New York Life Insurance,12505,12500,5,2022-04-18 00:00:00 +0000,32, , ,0,          
C00426775,"",D000000672,Charter Communications,12500,12500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00227744,"",D000000098,Ernst & Young,12500,12500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00486217,"",          ,LPL Financial,12500,12500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00107771,"",D000022329,Xcel Energy,12500,12500,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,12000,12000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,12000,12000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000021912,Citadel LLC,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000021972,Elliott Management,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Forward Financing,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Granite Logistics,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Paxos,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Silvergate,11600,0,11600,2022-04-18 00:00:00 +0000,40, , ,0,          
C00211318,"",D000000131,Deloitte LLP,11500,11500,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00105981,"",D000000262,Investment Co Institute,11000,11000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00088591,"",D000000170,Northrop Grumman,11000,11000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000071915,Rockwood Capital Management,10800,0,10800,2022-04-18 00:00:00 +0000,50, , ,0,          
C00280222,"",D000019986,KPMG LLP,10502,10500,2,2022-04-18 00:00:00 +0000,51, , ,0,          
C00360354,"",D000023883,Amazon.com,10265,10000,265,2022-04-18 00:00:00 +0000,52, , ,0,          
C00064766,"",D000000081,United Parcel Service,10052,10000,52,2022-04-18 00:00:00 +0000,53, , ,0,          
C00384818,"",D000025214,CVS Health,10030,10000,30,2022-04-18 00:00:00 +0000,54, , ,0,          
C00004275,"",D000000087,American Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00611871,"",          ,BMO Financial Corp,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00248716,"",D000000461,Comcast Corp,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000037002,Red Wing Publishing,10000,0,10000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00589119,"",D000067988,Synchrony Financial,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00121319,"",D000029442,Thrivent Financial,10000,10000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00277988,"",D000029888,Winthrop & Weinstine,9700,1000,8700,2022-04-18 00:00:00 +0000,69, , ,0,          
C00040659,"",D000022128,National Assn of Federally Insured Credit Unions,9500,9500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00098061,"",D000000619,Target Corp,9398,0,9398,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9253,9000,253,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Superior Pump,8700,0,8700,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Automotive Parts Headquarters,8600,0,8600,2022-04-18 00:00:00 +0000,74, , ,0,          
C00236489,"",D000000186,Koch Industries,8515,8500,15,2022-04-18 00:00:00 +0000,75, , ,0,          
C00089136,"",D000000067,Altria Group,8500,7500,1000,2022-04-18 00:00:00 +0000,76, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,8500,8500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000000659,State Farm Insurance,8250,8000,250,2022-04-18 00:00:00 +0000,78, , ,0,          
C00284885,"",D000000419,Home Depot,8019,7500,519,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,National Flooring Equipment,8000,0,8000,2022-04-18 00:00:00 +0000,80, , ,0,          
C00072025,"",D000000221,National Rural Letter Carriers Assn,8000,8000,0,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000061349,Frandsen Corp,7800,0,7800,2022-04-18 00:00:00 +0000,82, , ,0,          
C00227546,"",D000000115,Microsoft Corp,7600,7500,100,2022-04-18 00:00:00 +0000,83, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,7500,7500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00495002,"",D000036835,American Investment Council,7500,7500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00405076,"",D000024328,Best Buy,7500,7500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00380550,"",          ,FMR Corp,7500,7500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
