pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00450692,"",D000046017,Poet LLC,25000,20000,5000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000077808,Blue Beacon International,17650,0,17650,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Venture Corp                                      ,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Fairleigh Corp,15800,0,15800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Cohen-Esry Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000028953,Scoular Co,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Sporer Land Development,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000058226,Vess Oil Corp,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Winter Livestock,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Brookover Land Ent,11000,0,11000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00475665,"",D000045973,Growth Energy,11000,11000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00193631,"",D000000359,Farm Credit Council,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Hy-Plains Feedyard LLC,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00236489,"",D000000186,Koch Industries,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000068921,American Warrior Inc,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032957,Crossland Construction,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000025535,Domino'S Pizza,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Fairleigh Companies,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,"Farmer, Business",5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Foote Cattle Co,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Gastinger Walker Harden Architects,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Golden Rule,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Insco,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000062444,Michael Torrey Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Morrison Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000063261,Sandlian Realty,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000063454,Solomon Corp,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Stanton County,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Mitc,5600,0,5600,2022-04-18 00:00:00 +0000,31, , ,0,          
C00477653,"",D000000768,Cox Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00146605,"",D000025765,Farmers' Rice Cooperative,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00455717,"",D000025650,Free State PAC,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Infusion,5000,0,5000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000061975,Kansas State Bank,5000,0,5000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00492058,"",          ,Lank PAC,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00475673,"",D000054252,National Sorghum Producers,5000,5000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Reeve Cattle Co ,5000,0,5000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00308478,"",D000029615,USA Rice Federation,4500,4500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00410720,"",          ,Federal Home Loan Bank of Topeka,4000,4000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00416297,"",D000000431,National Cotton Council,4000,4000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,3500,3500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,3500,3500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00518910,"",D000056027,Renewable Fuels Assn,3500,3500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00363945,"",          ,Syngenta Corp,3500,3500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00410589,"",D000024686,Cerner Corp,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Downing-Nelson Oil Co ,3000,0,3000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,3000,3000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000060686,Clark Investment Group,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Crossland Heavy Contractors,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Harshman Construction LLC,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Jones Development Co,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Rps Financial Group,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
C00007070,"",D000000722,Texas Instruments,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Western State Bank,2900,0,2900,2022-04-18 00:00:00 +0000,55, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00041954,"",D000070197,California Farm Bureau,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00149104,"",D000024778,CHS Inc,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000084375,Conestoga Energy Partners,2500,0,2500,2022-04-18 00:00:00 +0000,62, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00001388,"",D000000119,Dairy Farmers of America,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00756825,"",          ,Delivers PAC,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00660894,"",          ,Garmin International,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
