pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067266,Orscheln Group,20200,0,20200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000076590,Veterans United Home Loans,18850,0,18850,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000055707,Production Products,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000092675,Timber Ridge Builders (Missouri),17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,H&R Agri Power,17000,0,17000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030673,University of Missouri,15620,0,15620,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Southern Boone Schools,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Polsinelli Law Firm,13900,0,13900,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032759,Colt Energy,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00452383,"",D000025756,Family Research Council,12500,10000,2500,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Community Bank of Raymore,12100,0,12100,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000077424,Country Club Bank,12000,0,12000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000091905,Alaris Capital,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,American Dehydrated Foods Inc,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Branco Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000089843,Bristol Manufacturing,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Cohen-Esry Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000044811,Drury Development,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034444,Herschend Family Entertainment,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000070497,Landmark Hospitals,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035452,Loren Cook Co,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000062455,Midway Usa,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Neighbors Construction,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000055134,Ozarks Coca-Cola Bottling,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Pate Campbell Properties,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Pro Pumping & Hydrojetting,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000084368,Reliance Telephone,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Rps-Bbdi Inc,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000088049,TC Jacoby & Co,11200,0,11200,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,American Direct Marketing Resources In,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000032623,Civic Service Inc,10800,0,10800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Peak Sport & Spine,10200,0,10200,2022-04-18 00:00:00 +0000,32, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10001,10000,1,2022-04-18 00:00:00 +0000,33, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00303883,"",          ,Case New Holland,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Coppage Farm Service,10000,0,10000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Crader Distributing Co,10000,0,10000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Dogwood Social House,10000,0,10000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Jcmg,10000,0,10000,2022-04-18 00:00:00 +0000,34, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Mercy Joplin,10000,0,10000,2022-04-18 00:00:00 +0000,34, , ,0,          
C00540054,"",          ,Nebraska Sandhills PAC,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Integrity Homecare,9600,0,9600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000034652,Independent Stave Co,7800,0,7800,2022-04-18 00:00:00 +0000,46, , ,0,          
C00142711,"",D000000100,Boeing Co,7775,7500,275,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Rf Controls LLC,7300,0,7300,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Baker Implement,6800,0,6800,2022-04-18 00:00:00 +0000,49, , ,0,          
C00453688,"",D000026741,JE Dunn Construction Group,6800,1000,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Hsc Industrial Coatings,6500,0,6500,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000051780,Herzog,6400,2500,3900,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Dts Missouri Llc,6100,0,6100,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000035805,Mercy Hospital,6050,0,6050,2022-04-18 00:00:00 +0000,54, , ,0,          
C00078451,"",D000000165,General Dynamics,6000,6000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00424382,"",D000026558,Husch Blackwell LLP,6000,2500,3500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Kanakuk Ministries,6000,0,6000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00275123,"",          ,Leonardo DRS,6000,6000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00236778,"",D000022172,Owner-Operator Independent Drivers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Rone Family Farm,6000,0,6000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000063828,UNICO Inc,6000,0,6000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00308478,"",D000029615,USA Rice Federation                     ,6000,6000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00034488,"",          ,Anheuser-Busch,5825,0,5825,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Bane Property Management LLC,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000060274,Baur Properties,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Belgrade State Bank,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Belle Hart Schmidt LLC,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Bernard Farms,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Bernard Household,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Bob McCosh Chevrolet Buick Gmc Cadilla,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000087599,Bukowsky Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Cassady Law Offices,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Centrinex,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Coryell Enterprises/Tlc Property Mgt,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000086867,Creative Consumer Concepts,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000050071,Delong's Inc,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000033165,Diamond Pet Foods,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Dynamic Body,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Edward Dement Farms Pnc,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Fresh Ideas Food Service,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Galena Road Gravel,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Gxm,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Heartland Insurance Co,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Hefner Furniture & Appliance,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Herzog Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,HR Agri-Power,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000035038,Keller Williams Realty,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Kuecker Logistics Group,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000062227,Lucas Oil Products,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Marko Consulting LLC,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Medart Inc,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Midwest Petroleum,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Mokan Seed & Chemical,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,MS Management Corp,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Muller Transportation,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Northrop,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000042427,O'Reilly Auto Parts,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Panera Bread,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Production Products Mfg & Sales Co,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Redford Construction,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Src Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Straight Street Holdings LLC,5800,0,5800,2022-04-18 00:00:00 +0000,64, , ,0,          
