pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000053770,Middletown Tube Works,22600,0,22600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000061156,Entertrainment Junction,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000094023,Payward Inc,10800,0,10800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000057270,Sugar Creek Packing,10000,0,10000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,9500,9500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00300178,"",D000019743,Wells Fargo,6000,6000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000077807,Bernie Moreno Companies,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000083182,Blockchain Assn,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000032966,Crown Equipment,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Cti Restaurants,5300,0,5300,2022-04-18 00:00:00 +0000,16, , ,0,          
C00250753,"",D000024207,Auto Care Assn,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00552851,"",D000068902,House Freedom Fund,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Sms Group,5000,0,5000,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Queen City Harley-Davidson,4700,0,4700,2022-04-18 00:00:00 +0000,23, , ,0,          
C00690735,"",D000032643,CGCN Group,4500,2500,2000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00113241,"",D000027790,National Apartment Assn,4500,4500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Kingsgate Logistics,4195,0,4195,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Fommco,3600,0,3600,2022-04-18 00:00:00 +0000,27, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00402107,"",          ,CUNA Mutual Insurance Society,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00227744,"",D000000098,Ernst & Young,3000,2500,500,2022-04-18 00:00:00 +0000,33, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,3000,3000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,3000,2000,1000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Blockchain Capital LLC,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Buschur Farms,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Cf Poeppelman,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Everyday Manufacturing Co,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000092881,Government Strategies Group,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Medical Assoc of Middletown,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Oppac,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Precision Custom Products Inc,2900,0,2900,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Pohl Transportation,2800,0,2800,2022-04-18 00:00:00 +0000,44, , ,0,          
C00495002,"",D000036835,American Investment Council,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00012914,"",D000000608,American Land Title Assn,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00692806,"",D000000310,American Property Casualty Insurance Assn,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00211318,"",D000000131,Deloitte LLP,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00379768,"",D000033552,Experian,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Extermital Termite & Pest Control,2500,0,2500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00540187,"",D000027721,Innovation PAC,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00236489,"",D000000186,Koch Industries,2500,2500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Relay Express,2500,0,2500,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Vega 32 Investments LLC,2500,0,2500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Blaine for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Century Motors of Columbus,2000,0,2000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00441311,"",D000032699,CNG Financial,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000060958,Demotech Inc,2000,0,2000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00078451,"",D000000165,General Dynamics,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00493221,"",D000073675,Guardian Fund,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00486217,"",          ,LPL Financial,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Phelan Insurance,2000,0,2000,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000037813,State of Ohio,2000,0,2000,2022-04-18 00:00:00 +0000,55, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,2000,2000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000000659,State Farm Insurance,1750,0,1750,2022-04-18 00:00:00 +0000,69, , ,0,          
C00449165,"",D000000274,Cintas Corp,1500,1500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00076299,"",D000023666,CME Group,1500,1500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Cmt Digital,1500,0,1500,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Francis-Condon Inc,1500,0,1500,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Gallagher Group,1500,0,1500,2022-04-18 00:00:00 +0000,70, , ,0,          
C00104802,"",D000000350,Delta Air Lines,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Ogilvy Government Relations,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,A212,1000,0,1000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000067690,Alignment Government Strategies,1000,0,1000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00358663,"",D000021838,American Resort Development Assn,1000,1000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00144261,"",D000024101,Appraisal Institute,1000,1000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Brown Transport Inc,1000,0,1000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",1000,1000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00433805,"",          ,Checksmart Financial,1000,1000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Chetna Mital,1000,0,1000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Cohen Holdings,1000,0,1000,2022-04-18 00:00:00 +0000,77, , ,0,          
