pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,155968,5000,150968,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,American Indian Tribe,23300,0,23300,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Yates Petroleum,22400,0,22400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Gardner Zemke Co,16400,0,16400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000044060,Saulsbury Industries,14500,0,14500,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Murphy Petroleum,13700,0,13700,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000089039,Matador Resources,12950,0,12950,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000059510,Pioneer Natural Resources,12850,0,12850,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Judah Oil LLC,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Mesilla Valley Transportation,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Wilbanks Trucking Services LLC,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Harvard Petroleum,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00354753,"",D000025483,Devon Energy,10700,0,10700,2022-04-18 00:00:00 +0000,17, , ,0,          
C00112896,"",D000000303,ConocoPhillips,10500,10000,500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00570945,"",          ,E-PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00448373,"",D000026537,Huck PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Alburquerque Public School,8700,0,8700,2022-04-18 00:00:00 +0000,24, , ,0,          
