pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00284885,"",D000000419,Home Depot,12500,12500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00386524,"",D000072145,Truist Financial,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00300178,"",D000019743,Wells Fargo,7775,6000,1775,2022-04-18 00:00:00 +0000,5, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00216754,"",D000022829,North Carolina Farm Bureau,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00083535,"",D000000477,Duke Energy,6450,5000,1450,2022-04-18 00:00:00 +0000,8, , ,0,          
C00109017,"",D000000076,AT&T Inc,6150,6000,150,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Acnc,5600,0,5600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00096156,"",D000000334,Honeywell International,5500,5500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Schnider Group,5400,0,5400,2022-04-18 00:00:00 +0000,12, , ,0,          
C00579540,"",D000034090,Ally Financial,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00108209,"",D000000335,Dominion Energy,5000,2000,3000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
