pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035759,McWane Inc,20000,0,20000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00077305,"",          ,Alabama Power,17000,15000,2000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022217,Related Companies,16600,0,16600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",15650,10000,5650,2022-04-18 00:00:00 +0000,4, , ,0,          
C00457242,"",          ,Blue Cross/Blue Shield of Alabama,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00215285,"",D000000317,General Atomics,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00358440,"",D000021862,Balch & Bingham,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00034272,"",D000000568,National Chicken Council,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Hunt Consolidated,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00151787,"",          ,Cubic Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00193631,"",D000000359,Farm Credit Council,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00303024,"",D000000104,Lockheed Martin,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00161414,"",          ,Protective Life Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000055220,Parker Towing,8300,0,8300,2022-04-18 00:00:00 +0000,18, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,8000,8000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00426775,"",D000000672,Charter Communications,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
