pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000050673,Esri,32675,0,32675,2022-04-18 00:00:00 +0000,1, , ,0,          
C00215285,"",D000000317,General Atomics,24000,20000,4000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",21600,0,21600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00386128,"",D000068698,Gentex,20800,10000,10800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,20031,20000,31,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000030810,Veritas Capital                         ,20028,20000,28,2022-04-18 00:00:00 +0000,6, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000047491,ATS Communications,20000,0,20000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00003632,"",D000000302,Bricklayers Union,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00211318,"",D000000131,Deloitte LLP,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00388827,"",D000066716,Rock Holdings,19400,16500,2900,2022-04-18 00:00:00 +0000,14, , ,0,          
C00248716,"",D000000461,Comcast Corp,19355,7500,11855,2022-04-18 00:00:00 +0000,15, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,17936,17936,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,17500,17500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,16531,16000,531,2022-04-18 00:00:00 +0000,18, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,16500,15000,1500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,15500,15500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00085316,"",D000000222,Cigna Corp,15010,15000,10,2022-04-18 00:00:00 +0000,21, , ,0,          
C00034488,"",          ,Anheuser-Busch,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00027359,"",D000000140,Ironworkers Union,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00430256,"",D000027692,Molina Healthcare,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Lasalle Medical Assoc,14500,0,14500,2022-04-18 00:00:00 +0000,27, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,14000,14000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000057474,Telacu,13700,0,13700,2022-04-18 00:00:00 +0000,29, , ,0,          
C00078451,"",D000000165,General Dynamics                        ,12546,12500,46,2022-04-18 00:00:00 +0000,30, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,12500,12500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00303024,"",D000000104,Lockheed Martin,12067,12000,67,2022-04-18 00:00:00 +0000,33, , ,0,          
C00142711,"",D000000100,Boeing Co,11731,11500,231,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000073694,FTX.US,11600,0,11600,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,New World Medical,11200,0,11200,2022-04-18 00:00:00 +0000,36, , ,0,          
C00064766,"",D000000081,United Parcel Service,11035,10000,1035,2022-04-18 00:00:00 +0000,37, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,11005,11000,5,2022-04-18 00:00:00 +0000,38, , ,0,          
