pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,40100,0,40100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022296,University of Texas,24732,0,24732,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,19722,0,19722,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000062372,McM Interests,18200,0,18200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
C00441949,"",          ,JStreetPAC,16150,0,16150,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000083316,"Thomas, Feldman & Wilshusen",14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000022313,"Waters, Kraus & Paul",13300,0,13300,2022-04-18 00:00:00 +0000,8, , ,0,          
C00422774,"",          ,Frontline USA,12385,5000,7385,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000089879,Rudner Law Offices,12000,0,12000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021849,Ariel Investments,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000033246,Dorchester Minerals,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034338,Hart Group,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034929,Jones Day,11584,0,11584,2022-04-18 00:00:00 +0000,14, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",10900,3250,7650,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000084388,J Pinnelli Co,10100,0,10100,2022-04-18 00:00:00 +0000,16, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000084029,Billingsley Co,9700,0,9700,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,SPR Packaging,9600,0,9600,2022-04-18 00:00:00 +0000,23, , ,0,          
C00107300,"",          ,American Airlines,9225,0,9225,2022-04-18 00:00:00 +0000,24, , ,0,          
C00617381,"",D000071024,The Collective PAC,9000,9000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000084306,Cardinal Capital Partners,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Morningstar Partners,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Tillotson Law,8700,0,8700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Stewart Organization,8500,0,8500,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000082931,First Washington Realty,8300,0,8300,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,8300,0,8300,2022-04-18 00:00:00 +0000,30, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8000,8000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Specialty Tutors,8000,0,8000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Higier Allen & Lautin PC,7600,0,7600,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000709,Susman Godfrey Llp,7600,0,7600,2022-04-18 00:00:00 +0000,34, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00573261,"",          ,End Citizens United,7500,7500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,7500,7500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,7500,7500,0,2022-04-18 00:00:00 +0000,36, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,7235,0,7235,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Quadrant Capital,7200,0,7200,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000062634,New Community Fund,6969,0,6969,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Anthony Properties,6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
