pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00608943,"",          ,ClearPath Action,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000043583,South Point Hotel & Casino,11200,0,11200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00299321,"",D000000193,MGM Resorts International,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,9900,6000,3900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00096156,"",D000000334,Honeywell International,8800,3000,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000772,Station Casinos,8700,0,8700,2022-04-18 00:00:00 +0000,9, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,LS Power Development,5400,0,5400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000074079,Porter Group,5400,0,5400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031012,Western Nevada Supply,5400,0,5400,2022-04-18 00:00:00 +0000,11, , ,0,          
C00341800,"",          ,Airports Council Intl/North America,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00426775,"",D000000672,Charter Communications,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00504530,"",D000069888,Congressional Leadership Fund,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00389585,"",          ,Global Medical Response,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00399642,"",D000020980,Las Vegas Sands,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Law Office of Stephen Hartman,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Carson Urology,4000,0,4000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,J&J Mechanical,4000,0,4000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Coldwell Banker,3500,0,3500,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Pete King Commercial,3500,0,3500,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000078378,Sierra Nevada Construction,3500,0,3500,2022-04-18 00:00:00 +0000,27, , ,0,          
C00142711,"",D000000100,Boeing Co,3000,3000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Click Bond Inc,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Golden Gate Petroleum of Nv,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Q&D Construction LLC,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,3000,3000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00433060,"",D000029531,Republican Governance Group,3000,3000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000078398,Retail Assn of Nevada,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,S Real Estate LLC,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,United Construction,3000,0,3000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Atlantis Casino Resort Spa,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Bodines Casino,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Cashell Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000060635,Cherokee Nation,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Frank Lepori Construction,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Kaia Fit,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
C00063164,"",D000000373,McDonald's Corp,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Morrey Distributing Co,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,R&S Leasing (Nevada),2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000083449,The Animal Foundation,2900,0,2900,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Artistic Iron Works,2800,0,2800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Briggs Electric,2800,0,2800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Nev Cal Trucking,2800,0,2800,2022-04-18 00:00:00 +0000,49, , ,0,          
C00280008,"",D000021811,Akerman LLP,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00016386,"",D000023926,American Bakers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00004275,"",D000000087,American Bankers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00320580,"",          ,Barrick Goldstrike Mines,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00389429,"",          ,CalPortland Co,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000060542,Capital Beverage,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Capital Ford Mazda Hyundai,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Diloreto Construction,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000061381,Fritz Duda Co,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00215285,"",D000000317,General Atomics,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00408260,"",D000026283,Grant Thornton LLP,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000053380,Marcus G Faust PC,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00153379,"",          ,NV Energy,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00691501,"",          ,Re-Joyce PAC,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Self-Rancher,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00076737,"",D000029141,Southwest Gas,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00064766,"",D000000081,United Parcel Service,2500,2500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Vertex Chemical,2500,0,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,2000,2000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",2000,2000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Circle Bar N Ranch,2000,0,2000,2022-04-18 00:00:00 +0000,72, , ,0,          
C00078451,"",D000000165,General Dynamics,2000,2000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Hb Engineering Group,2000,0,2000,2022-04-18 00:00:00 +0000,72, , ,0,          
