pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00227546,"",D000000115,Microsoft Corp,17300,13500,3800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Fargo Assembly,16600,0,16600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00284885,"",D000000419,Home Depot,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00236489,"",D000000186,Koch Industries,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00450692,"",D000046017,Poet LLC,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00109017,"",D000000076,AT&T Inc,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Edgewood Reit,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Jordahl Custom Homes                              ,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00557322,"",D000034447,Hess Corp,11000,10000,1000,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060151,Armstrong Corp,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00012914,"",D000000608,American Land Title Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00493072,"",          ,Dakota PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00144774,"",D000000168,Southern Co,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000033486,Epic Systems,8500,0,8500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,8000,8000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,8000,8000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000036079,NACCO Industries,7800,5000,2800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00361758,"",D000022272,T-Mobile USA,7750,7500,250,2022-04-18 00:00:00 +0000,22, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7000,7000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00248716,"",D000000461,Comcast Corp,6500,5000,1500,2022-04-18 00:00:00 +0000,29, , ,0,          
C00541169,"",D000054156,National Assn of Manufacturers,6500,6500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000068962,Farragut Partners,6000,0,6000,2022-04-18 00:00:00 +0000,31, , ,0,          
