pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,100550,0,100550,2022-04-18 00:00:00 +0000,1, , ,0,          
C00441949,"",          ,JStreetPAC,36055,0,36055,2022-04-18 00:00:00 +0000,2, , ,0,          
C00193433,"",D000000113,EMILY's List,33675,5000,28675,2022-04-18 00:00:00 +0000,3, , ,0,          
C00450692,"",D000046017,Poet LLC,25800,20000,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,24985,5000,19985,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,17597,0,17597,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,NOT EMPLOYED,17298,0,17298,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Urban Development Corp (Iowa),15473,0,15473,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000033517,Essex Meadows,15010,0,15010,2022-04-18 00:00:00 +0000,9, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,14400,10000,4400,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000035806,Mercy Medical Center,11953,0,11953,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000085772,Kemin Industries,11610,0,11610,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000070423,Arista Networks,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068512,Emerson Collective,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000045010,Minneapolis Radiation Oncology,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000055822,Q Prime Inc,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030215,Sutherland Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Iowa State Savings Bank,11200,0,11200,2022-04-18 00:00:00 +0000,20, , ,0,          
C00024521,"",D000000065,American Assn for Justice,10250,10000,250,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021757,Berkshire Hathaway,10041,10000,41,2022-04-18 00:00:00 +0000,22, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00475665,"",D000045973,Growth Energy,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00388462,"",          ,ITC Holdings,9300,3500,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034744,Iowa State University,9058,0,9058,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000033807,Fredrikson & Byron,9050,0,9050,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Massachusetts General Hospital,8720,0,8720,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022025,Henry Crown & Co,8700,0,8700,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000061881,Jane Street Capital,8700,0,8700,2022-04-18 00:00:00 +0000,35, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",8500,8500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000037799,State of Iowa,8028,0,8028,2022-04-18 00:00:00 +0000,38, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000030662,University of Iowa,7723,0,7723,2022-04-18 00:00:00 +0000,41, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00002840,"",D000000070,United Auto Workers,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Midwest Oilseeds,7458,0,7458,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Simpson College,7435,0,7435,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000036548,"Patterson, Belknap et al",7170,0,7170,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000070030,Friends of Don Beyer,7000,5000,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00571174,"",          ,Serve America PAC,7000,7000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00227546,"",D000000115,Microsoft Corp,6801,0,6801,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000544,Harvard University,6500,0,6500,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000035151,Knapp Properties,6150,0,6150,2022-04-18 00:00:00 +0000,51, , ,0,          
C00699421,"",          ,A Woman's Place PAC,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00629576,"",          ,Build Our Movement,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,5950,0,5950,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000063051,Rasmussen Group,5850,0,5850,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Abbell Assoc Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031415,Alleycorp LLC,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031435,Alsop Louie Partners,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Aperture Group,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
C00450916,"",D000031673,Asurion LLC,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031993,BLS Investments,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000070483,Blue Haven Initiative,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000043616,Bluestem Asset Management,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Capital Research Global Investors,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000033000,Cushman & Wakefield,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000033406,Elevation Partners,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Executive Affiliates Inc,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000090109,Fore Property,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Graham Group,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000089916,Healthyup Inc,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000073392,Holland Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,58, , ,0,          
