pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00629709,"",          ,No Labels Problem Solvers,296883,5000,291883,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,44250,2500,41750,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000035089,Kiewit Corp,32500,0,32500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00479998,"",          ,Tenaska Inc,31550,5000,26550,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033678,1st Financial Bank USA,21200,0,21200,2022-04-18 00:00:00 +0000,5, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,20000,20000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428623,"",          ,Google Inc,18314,10000,8314,2022-04-18 00:00:00 +0000,8, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,17500,17500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034362,Hawkins Construction,16200,0,16200,2022-04-18 00:00:00 +0000,10, , ,0,          
C00281212,"",D000000583,BAE Systems,15225,10000,5225,2022-04-18 00:00:00 +0000,11, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00008268,"",D000000178,Transport Workers Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00215285,"",D000000317,General Atomics,14800,4000,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00103903,"",D000022021,HDR Inc,12900,10000,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,12900,10000,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
C00027359,"",D000000140,Ironworkers Union,12500,12500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00007922,"",D000000074,Laborers Union,12500,12500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,12000,12000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Baxter Auto Group,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Bhmi,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000021972,Elliott Management,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Eye Consultants Pc,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000043186,Killerspin,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000091450,Norfolk Iron & Metal,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000068983,Route One Investment,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,11500,11500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000037808,State of Nebraska,11166,0,11166,2022-04-18 00:00:00 +0000,35, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,11000,5000,6000,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000033180,Dinkel Implement,10800,0,10800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Meridian Health Plan,10800,0,10800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00102368,"",D000000534,Desert Caucus,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00444752,"",D000071054,Nebraska Farm Bureau,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,10000,10000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9500,7000,2500,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000021912,Citadel LLC,8700,0,8700,2022-04-18 00:00:00 +0000,53, , ,0,          
C00094581,"",D000000316,Mutual of Omaha,8528,6000,2528,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,55, , ,0,          
C00303024,"",D000000104,Lockheed Martin,8025,8000,25,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,8000,8000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
