pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030698,University of Wisconsin                 ,533446,0,533446,2022-04-18 00:00:00 +0000,1,x, ,0,D000030698
C00441949,"",          ,JStreetPAC,208065,9706,198359,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,188284,0,188284,2022-04-18 00:00:00 +0000,3, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,94911,9213,85698,2022-04-18 00:00:00 +0000,4, , ,0,          
C00450098,"",D000029916,Womencount PAC,89659,25,89634,2022-04-18 00:00:00 +0000,5, , ,0,          
C00193433,"",D000000113,Emily's List,85291,5000,80291,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000037827,State of Wisconsin                      ,84484,0,84484,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000769,"Paul, Weiss et al",67589,0,67589,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035643,Marshfield Clinic,65292,0,65292,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033486,Epic Systems,57587,0,57587,2022-04-18 00:00:00 +0000,10,x, ,0,D000033486
         ,"",D000035768,Medical College of Wisconsin,54727,0,54727,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000343,Northwestern Mutual,50827,29900,20927,2022-04-18 00:00:00 +0000,12, , ,0,          
C00603076,"",D000035853,"Michael, Best & Friedrich",50788,6500,44288,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000406,University of California                ,44565,0,44565,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000720,IBM Corp,42965,0,42965,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000043153,Congaree River LP,39950,0,39950,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,NOT EMPLOYED,38649,0,38649,2022-04-18 00:00:00 +0000,17, , ,0,          
C00105338,"",D000021988,Foley & Lardner,37258,5500,31758,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000033788,Francisco Partners,35800,0,35800,2022-04-18 00:00:00 +0000,19,x, ,0,D000059679
C00028860,"",D000000083,American Federation of Teachers,35130,35000,130,2022-04-18 00:00:00 +0000,20,x, ,0,D000000083
C00029504,"",D000000139,Operating Engineers Union,34280,34000,280,2022-04-18 00:00:00 +0000,21,x, ,0,D000000139
         ,"",D000035692,Mayo Clinic                             ,34132,0,34132,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007922,"",D000000074,Laborers Union,34010,34000,10,2022-04-18 00:00:00 +0000,23,x, ,0,D000000074
         ,"",D000070000,Advocate Aurora Health,33983,0,33983,2022-04-18 00:00:00 +0000,24, , ,0,          
C00248716,"",D000000461,Comcast Corp,32742,25000,7742,2022-04-18 00:00:00 +0000,25,x, ,0,D000000461
C00426775,"",D000000672,Charter Communications,32685,32500,185,2022-04-18 00:00:00 +0000,26,x, ,0,D000000672
         ,"",D000034262,"Habush, Habush & Rottier",32591,0,32591,2022-04-18 00:00:00 +0000,27, , ,0,          
C00227546,"",D000000115,Microsoft Corp,32390,12500,19890,2022-04-18 00:00:00 +0000,28,x, ,0,D000000115
C00010082,"",D000022131,NCTA The Internet & Television Assn,31015,25000,6015,2022-04-18 00:00:00 +0000,29,x, ,0,D000022131
C00558411,"",D000075428,US Venture Inc,31000,19900,11100,2022-04-18 00:00:00 +0000,30, , ,0,          
C00099945,"",D000029889,Wec Energy Group,30733,21500,9233,2022-04-18 00:00:00 +0000,31, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,30710,30000,710,2022-04-18 00:00:00 +0000,32,x, ,0,D000000069
C70000492,"",D000000064,National Education Assn,30570,13000,17570,2022-04-18 00:00:00 +0000,33,x, ,0,D000000064
         ,"",D000041079,Uw Health,30401,0,30401,2022-04-18 00:00:00 +0000,34, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,30350,30000,350,2022-04-18 00:00:00 +0000,35,x, ,0,D000000084
C00107235,"",D000000124,PricewaterhouseCoopers,30241,18500,11741,2022-04-18 00:00:00 +0000,36,x,x,0,D000000124
         ,"",D000067823,Alphabet Inc,30081,9000,21081,2022-04-18 00:00:00 +0000,37, , ,0,          
C00002089,"",D000000075,Communications Workers of America,30042,30000,42,2022-04-18 00:00:00 +0000,38,x, ,1,D000000075
C00078451,"",D000000165,General Dynamics,29760,28500,1260,2022-04-18 00:00:00 +0000,39,x, ,0,D000000165
C00238725,"",D000000285,National Air Traffic Controllers Assn,29500,29500,0,2022-04-18 00:00:00 +0000,40,x, ,0,D000000285
C00303024,"",D000000104,Lockheed Martin,29397,27000,2397,2022-04-18 00:00:00 +0000,41,x, ,0,D000000104
C00457697,"",          ,Molson Coors Beverage Co,29110,25000,4110,2022-04-18 00:00:00 +0000,42, , ,0,          
C00024869,"",D000000125,General Electric,29018,15500,13518,2022-04-18 00:00:00 +0000,43,x, ,0,D000000125
C00367995,"",D000029049,Sierra Nevada Corp,28950,12000,16950,2022-04-18 00:00:00 +0000,44,x, ,0,D000029049
C00193631,"",D000000359,Farm Credit Council,28500,28500,0,2022-04-18 00:00:00 +0000,45,x, ,0,D000000359
C70002563,"",D000000062,National Assn of Realtors,28060,28000,60,2022-04-18 00:00:00 +0000,46,x, ,0,D000000062
C00314617,"",D000000591,Planned Parenthood,27158,7999,19159,2022-04-18 00:00:00 +0000,47, , ,0,          
C00304477,"",D000028179,Oshkosh Corp,26970,8000,18970,2022-04-18 00:00:00 +0000,48,x, ,0,D000028179
         ,"",D000084408,Lubar & Co,26250,0,26250,2022-04-18 00:00:00 +0000,49, , ,0,          
C00024521,"",D000000065,American Assn for Justice,25920,25000,920,2022-04-18 00:00:00 +0000,50,x,x,0,D000000065
C90016072,"",D000071020,Bend The Arc Jewish Action,25900,9500,16400,2022-04-18 00:00:00 +0000,51, , ,0,          
C00106146,"",D000000116,American Hospital Assn                  ,25700,6000,19700,2022-04-18 00:00:00 +0000,52, , ,0,          
C00076810,"",D000000155,General Motors,25505,25000,505,2022-04-18 00:00:00 +0000,53,x, ,1,D000000155
         ,"",D000033751,FOREST COUNTY POTAWATOMI COMMUNITY,25500,0,25500,2022-04-18 00:00:00 +0000,54,x, ,0,D000033751
C00035451,"",D000000117,Air Line Pilots Assn,25025,25000,25,2022-04-18 00:00:00 +0000,55,x, ,0,D000000117
C00003632,"",D000000302,Bricklayers Union,25000,25000,0,2022-04-18 00:00:00 +0000,56,x, ,0,D000000302
C00000885,"",D000000250,Painters & Allied Trades Union,25000,25000,0,2022-04-18 00:00:00 +0000,56,x, ,0,D000000250
         ,"",D000034986,Kaiser Permanente,24769,0,24769,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000036907,Quarles & Brady,24405,0,24405,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000022219,Renaissance Technologies,24300,0,24300,2022-04-18 00:00:00 +0000,60, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,24156,17500,6656,2022-04-18 00:00:00 +0000,61,x, ,0,D000023883
C00088591,"",D000000170,Northrop Grumman,23850,22500,1350,2022-04-18 00:00:00 +0000,62,x, ,0,D000000170
         ,"",D000034497,Ho-Chunk Nation,23813,0,23813,2022-04-18 00:00:00 +0000,63,x, ,0,D000034497
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",23525,23500,25,2022-04-18 00:00:00 +0000,64,x, ,0,D000071033
         ,"",D000031533,Analysis Group                          ,23100,0,23100,2022-04-18 00:00:00 +0000,65, , ,0,          
C00379784,"",D000025693,EnPro Industries,23000,23000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000000750,Stanford University,22861,0,22861,2022-04-18 00:00:00 +0000,67, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,22500,22500,0,2022-04-18 00:00:00 +0000,68,x, ,1,D000000202
C00337626,"",D000000106,Morgan Stanley,22330,0,22330,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000029368,Telephone & Data Systems Inc,22270,16000,6270,2022-04-18 00:00:00 +0000,70,x, ,0,D000029368
         ,"",D000033822,"Fried, Frank et al",22217,0,22217,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000022296,University of Texas                     ,22040,0,22040,2022-04-18 00:00:00 +0000,72, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,22000,20000,2000,2022-04-18 00:00:00 +0000,73,x, ,0,D000000101
         ,"",          ,Warner Brothers Discovery,21987,0,21987,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000061195,Exact Sciences Corp,21858,0,21858,2022-04-18 00:00:00 +0000,75,x, ,0,D000061195
C00350744,"",D000000085,Goldman Sachs,21702,0,21702,2022-04-18 00:00:00 +0000,76, , ,0,          
C00121319,"",D000029442,Thrivent Financial,21640,20500,1140,2022-04-18 00:00:00 +0000,77,x, ,0,D000029442
         ,"",D000043616,Bluestem Asset Management,21600,0,21600,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000037662,Solil Management,21600,0,21600,2022-04-18 00:00:00 +0000,78, , ,0,          
C00096156,"",D000000334,Honeywell International,21347,20000,1347,2022-04-18 00:00:00 +0000,80,x, ,0,D000000334
         ,"",D000062260,Madison Metro School District,21278,0,21278,2022-04-18 00:00:00 +0000,81, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,21155,17500,3655,2022-04-18 00:00:00 +0000,82,x, ,0,D000000061
C00486928,"",D000046760,Alzheimer's Assn,20875,5000,15875,2022-04-18 00:00:00 +0000,83,x, ,0,D000046760
C00196725,"",D000067800,Hewlett Packard Enterprise,20714,20000,714,2022-04-18 00:00:00 +0000,84,x, ,0,D000067800
