pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00432856,"",          ,Am General Corp,21100,7000,14100,2022-04-18 00:00:00 +0000,1, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,17900,0,17900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030599,Uline Inc,16600,0,16600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15050,15000,50,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021873,Blackstone Group,14500,0,14500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00004275,"",D000000087,American Bankers Assn,13750,13500,250,2022-04-18 00:00:00 +0000,6, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,13500,13500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,12000,12000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00084491,"",D000022046,International Franchise Assn,12000,12000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060939,Deister Machine Co,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Glenbrook Dodge Chrysler Jeep,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Tfe,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,11000,10000,1000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000063821,Ultra Electronics,10500,10000,500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00007880,"",D000000136,Credit Union National Assn              ,10100,10000,100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000091318,Automotive Color & Supply,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Greenstar Development,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00540187,"",D000027721,Innovation PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Kelly Automotive Group,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000073422,Miller Strategies,10000,0,10000,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
