pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000033285,"Dreyer, Babich et al",17400,0,17400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00019653,"",D000000239,Edison International,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00109017,"",D000000076,AT&T Inc,8000,8000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00284885,"",D000000419,Home Depot,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000536,Latham & Watkins,7500,0,7500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,6800,0,6800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00248716,"",D000000461,Comcast Corp,6500,6500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00096156,"",D000000334,Honeywell International,6000,6000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00186288,"",D000000079,Verizon Communications,6000,6000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00689091,"",D000000810,Carlyle Group,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Classical Composer,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000072040,Hackman Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035134,Ktbs Law Llp,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036457,"Pachulski, Stang et al",5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000079420,Parris Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036911,"Quinn, Emanuel et al",5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037380,Sares-Regis Group,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Sean N Parker Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Raymond Properties,5600,0,5600,2022-04-18 00:00:00 +0000,22, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,5500,5500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00250753,"",D000024207,Auto Care Assn,5000,5000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
