pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00426775,"",D000000672,Charter Communications,90700,45000,45700,2022-04-18 00:00:00 +0000,1,x, ,2,D000000672
C00015933,"",D000000658,Pinnacle West Capital,79600,42500,37100,2022-04-18 00:00:00 +0000,2,x, ,0,D000000658
C00104802,"",D000000350,Delta Air Lines,79417,33500,45917,2022-04-18 00:00:00 +0000,3,x, ,1,D000000350
C00251876,"",D000000391,Amgen Inc,72400,40000,32400,2022-04-18 00:00:00 +0000,4,x, ,6,D000000391
C00064774,"",D000000321,NextEra Energy,68550,42000,26550,2022-04-18 00:00:00 +0000,5,x, ,5,D000000321
         ,"",D000021757,Berkshire Hathaway,58128,42000,16128,2022-04-18 00:00:00 +0000,6,x, ,1,D000021757
         ,"",D000068060,ClearPath Foundation,52700,0,52700,2022-04-18 00:00:00 +0000,7,x, ,0,D000068060
C00390583,"",D000000724,"Brownstein, Hyatt et al",52150,15500,36650,2022-04-18 00:00:00 +0000,8,x,x,0,D000000724
         ,"",D000000109,Blue Cross/Blue Shield,52055,46500,5555,2022-04-18 00:00:00 +0000,9,x, ,7,D000000109
         ,"",D000089155,Sinclair Companies,49450,0,49450,2022-04-18 00:00:00 +0000,10,x, ,0,D000089155
C00384818,"",D000025214,CVS Health,48430,33500,14930,2022-04-18 00:00:00 +0000,11,x, ,4,D000025214
C00141218,"",D000000368,Exelon Corp,46400,26000,20400,2022-04-18 00:00:00 +0000,12,x, ,4,D000000368
         ,"",D000081974,Neurological Surgery PC,46000,0,46000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00186288,"",D000000079,Verizon Communications,46000,39500,6500,2022-04-18 00:00:00 +0000,13,x, ,7,D000000079
C00236489,"",D000000186,Koch Industries,45400,40000,5400,2022-04-18 00:00:00 +0000,15,x, ,2,D000000186
C00000729,"",D000000105,American Dental Assn,45000,45000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000105
C90016437,"",D000000086,National Assn of Home Builders,45000,40000,5000,2022-04-18 00:00:00 +0000,16,x, ,1,D000000086
C00130773,"",D000000755,National Multifamily Housing Council,45000,45000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000755
         ,"",D000021873,Blackstone Group,43200,0,43200,2022-04-18 00:00:00 +0000,19,x, ,3,D000021873
C00000422,"",D000000068,American Medical Assn,40250,40000,250,2022-04-18 00:00:00 +0000,20,x, ,0,D000000068
C00536573,"",D000066804,AbbVie Inc,40050,25000,15050,2022-04-18 00:00:00 +0000,21, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,40000,40000,0,2022-04-18 00:00:00 +0000,22,x, ,6,D000000383
C00009282,"",D000019639,Norfolk Southern,40000,40000,0,2022-04-18 00:00:00 +0000,22,x, ,3,D000019639
         ,"",          ,HF Sinclair Corp,39400,34000,5400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000021982,Fierce Government Relations,38400,0,38400,2022-04-18 00:00:00 +0000,25, , ,0,          
C00097485,"",D000000275,Merck & Co,37500,35000,2500,2022-04-18 00:00:00 +0000,26,x, ,5,D000000275
C00004812,"",D000000309,Mortgage Bankers Assn,37500,37500,0,2022-04-18 00:00:00 +0000,26,x, ,0,D000000309
C00144766,"",D000000101,National Beer Wholesalers Assn,37500,37500,0,2022-04-18 00:00:00 +0000,26,x, ,2,D000000101
C00016683,"",D000000138,Pfizer Inc,36200,27500,8700,2022-04-18 00:00:00 +0000,29,x, ,8,D000000138
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,36000,36000,0,2022-04-18 00:00:00 +0000,30,x, ,2,D000000606
C00035006,"",D000000015,Chevron Corp,35900,14000,21900,2022-04-18 00:00:00 +0000,31, , ,0,          
C00040394,"",D000000480,Williams Companies,35500,23500,12000,2022-04-18 00:00:00 +0000,32,x, ,1,D000000480
C00082792,"",D000000166,Eli Lilly & Co,35200,32500,2700,2022-04-18 00:00:00 +0000,33,x, ,5,D000000166
C00250399,"",D000021853,Automotive Free International Trade PAC,35000,35000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00248716,"",D000000461,Comcast Corp,35000,35000,0,2022-04-18 00:00:00 +0000,34,x, ,9,D000000461
C70002563,"",D000000062,National Assn of Realtors,35000,35000,0,2022-04-18 00:00:00 +0000,34,x, ,2,D000000062
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,35000,35000,0,2022-04-18 00:00:00 +0000,34,x, ,4,D000000356
C00227546,"",D000000115,Microsoft Corp,34500,34500,0,2022-04-18 00:00:00 +0000,38,x, ,2,D000000115
C00064766,"",D000000081,United Parcel Service,34041,33970,71,2022-04-18 00:00:00 +0000,39,x, ,3,D000000081
C00009985,"",D000000202,National Assn of Broadcasters,34000,33000,1000,2022-04-18 00:00:00 +0000,40,x, ,2,D000000202
C00126763,"",D000000240,National Assn of Convenience Stores,33500,33500,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000000240
C00010470,"",D000000118,Union Pacific Corp,33500,33500,0,2022-04-18 00:00:00 +0000,41,x, ,1,D000000118
C00093054,"",D000000367,Walmart Inc,32718,27000,5718,2022-04-18 00:00:00 +0000,43,x, ,2,D000000367
C00397851,"",D000024670,Centene Corp,32595,16500,16095,2022-04-18 00:00:00 +0000,44,x, ,2,D000024670
