pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031759,Bad Robot Productions,16800,0,16800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021849,Ariel Investments,13700,0,13700,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030252,Szt Promotions,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00441949,"",          ,JStreetPAC,10700,1500,9200,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,8300,2500,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031277,Accel Partners,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Adelson Foundations,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031447,Altshuler Berzon LLP,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031533,Analysis Group,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034547,Houlihan Lokey Inc,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Shell Mercer,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000063612,SV Angel LLC,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000071500,Wicklow Capital,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,7505,7500,5,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061421,Gehry Partners,7100,0,7100,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000406,University of California                ,6522,0,6522,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Warner Brothers Discovery,5825,0,5825,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000084130,Amd Homes,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000031469,American Capital,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000021910,Children's Research & Education Institute,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000049747,Cordoba Corp,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00468314,"",D000025328,Democracy Engine,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Gdml Holdings Inc,5800,0,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
