pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,251597,0,251597,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,138300,0,138300,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021873,Blackstone Group                        ,110275,0,110275,2022-04-18 00:00:00 +0000,3,x, ,0,D000021873
C00248716,"",D000000461,Comcast Corp,54554,10000,44554,2022-04-18 00:00:00 +0000,4,x, ,1,D000000461
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,51200,51200,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,45244,10000,35244,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021903,Centerbridge Partners,45000,0,45000,2022-04-18 00:00:00 +0000,7,x, ,0,D000021903
         ,"",D000030653,University of Colorado                  ,41496,0,41496,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Urology Center of Colorado,39050,0,39050,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000030261,Taconic Capital Advisors,38400,0,38400,2022-04-18 00:00:00 +0000,10, , ,0,          
C00635516,"",D000068133,Tellurian Inc,34400,7500,26900,2022-04-18 00:00:00 +0000,11,x, ,1,D000068133
         ,"",D000000333,"Kleiner, Perkins et al",34000,0,34000,2022-04-18 00:00:00 +0000,12,x, ,0,D000000333
         ,"",D000073757,Inherent Group,33200,0,33200,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037790,State of Colorado                       ,32801,0,32801,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000021842,"Angelo, Gordon & Co",31600,0,31600,2022-04-18 00:00:00 +0000,15,x, ,0,D000021842
         ,"",D000000801,Warburg Pincus,29500,0,29500,2022-04-18 00:00:00 +0000,16,x, ,0,D000000801
C00689091,"",D000000810,Carlyle Group,29200,0,29200,2022-04-18 00:00:00 +0000,17,x, ,0,D000000810
         ,"",D000000402,"Welsh, Carson et al                     ",28000,0,28000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00441949,"",          ,JStreetPAC,27950,0,27950,2022-04-18 00:00:00 +0000,19, , ,0,          
C00387555,"",D000019809,Council for a Livable World,27333,0,27333,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000054906,Oaktree Capital Management,26000,0,26000,2022-04-18 00:00:00 +0000,21,x, ,0,D000054906
         ,"",D000035181,"Kramer, Levin et al",25700,0,25700,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Hadar H Waldman Md,25100,0,25100,2022-04-18 00:00:00 +0000,23, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,25000,25000,0,2022-04-18 00:00:00 +0000,24,x, ,1,D000000062
         ,"",D000033344,East West Partners,24200,0,24200,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000092085,Guild Education,23700,0,23700,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000086892,Scaled Agile,23275,0,23275,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000070480,Cranemere LLC,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000068048,Draftkings,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000071415,GFP Real Estate,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Shorenstein,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000063703,Third Rock Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000082137,Oak View Group,22900,0,22900,2022-04-18 00:00:00 +0000,34,x, ,0,D000082137
         ,"",D000063306,Scopia Capital Management,21600,0,21600,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Varana Capital,21600,0,21600,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Varana Capital LLC,21600,0,21600,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000030656,University of Denver,20898,0,20898,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000068512,Emerson Collective,20800,0,20800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,20600,0,20600,2022-04-18 00:00:00 +0000,40, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,20051,20000,51,2022-04-18 00:00:00 +0000,41,x, ,0,D000000139
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000433
C00147975,"",D000000267,KidsPAC,20000,20000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,20000,20000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000285
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000084
         ,"",D000032757,Colorado State University,19879,0,19879,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Diameter Capital Partners,19700,0,19700,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,19300,0,19300,2022-04-18 00:00:00 +0000,48, , ,0,          
C00540518,"",D000021890,Capital Group Companies,18700,10000,8700,2022-04-18 00:00:00 +0000,49,x, ,0,D000021890
         ,"",D000022322,WilmerHale Llp,18615,0,18615,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000000544,Harvard University                      ,17608,0,17608,2022-04-18 00:00:00 +0000,51, , ,0,          
C00097485,"",D000000275,Merck & Co,17508,17500,8,2022-04-18 00:00:00 +0000,52,x, ,1,D000000275
         ,"",D000021972,Elliott Management,17450,0,17450,2022-04-18 00:00:00 +0000,53, , ,0,          
C00457234,"",D000027415,Marsh & McLennan,17408,0,17408,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000031759,Bad Robot Productions,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000033988,General Atlantic,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000089877,Hawk Hill Management Co,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000022025,Henry Crown & Co,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000035686,Maverick Capital,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Seattle Fish Co,17100,0,17100,2022-04-18 00:00:00 +0000,60, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,17078,16500,578,2022-04-18 00:00:00 +0000,61,x, ,3,D000072615
C00390583,"",D000000724,"Brownstein, Hyatt et al",17055,2000,15055,2022-04-18 00:00:00 +0000,62, , ,0,          
