pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000406,University of California                ,12730,0,12730,2022-04-18 00:00:00 +0000,1, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,12500,12500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,12500,12500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031369,Akonadi Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000089370,Westbridge Capital,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,11000,11000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00375360,"",D000021828,American College of Cardiology,11000,10000,1000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,11000,11000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00403881,"",          ,American College of Physicians Services,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00343459,"",D000021829,American College of Radiology,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00411553,"",D000023903,American Academy of Family Physicians,7000,7000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00274944,"",D000000540,College of American Pathologists,7000,7000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000088846,Teichert Foundation,6750,0,6750,2022-04-18 00:00:00 +0000,18, , ,0,          
C00542365,"",          ,Toyota Motor North America,6500,6500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,6000,6000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Apercen Partners,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Chugh Llp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Credit Agricule,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000033915,Fulcrum Properties Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Leading Resources Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000070784,Matthews International Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000090878,Roeco Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034986,Kaiser Permanente,5640,0,5640,2022-04-18 00:00:00 +0000,29, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,5500,5500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000076011,Western Health Advantage,5400,0,5400,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Scef,5300,0,5300,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000000812,State of California                     ,5010,0,5010,2022-04-18 00:00:00 +0000,33, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",5000,2250,2750,2022-04-18 00:00:00 +0000,34, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00249342,"",D000021840,American Society of Plastic Surgeons,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00397851,"",D000024670,Centene Corp,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00531632,"",          ,Defense Economic Renewal Education & Knowledge PAC,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
