pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00370114,"",D000000414,Charles Schwab Corp,35622,0,35622,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Art Moran Buick Gmc,26162,0,26162,2022-04-18 00:00:00 +0000,2, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,25000,25000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000684,Duchossois Group,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Rich Dad Co,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Savoy Exploration,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000071306,Total Military Management,11200,0,11200,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Zurich,11105,0,11105,2022-04-18 00:00:00 +0000,9, , ,0,          
C00225342,"",D000022103,McGuireWoods LLP,10400,7500,2900,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00151787,"",          ,Cubic Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000050034,DEBONAIR Mechanical,10000,0,10000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00275123,"",          ,Leonardo DRS,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00303024,"",D000000104,Lockheed Martin,9500,9500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00503151,"",D000071026,Upper Hand Fund,9500,9500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Koll LLC,8871,0,8871,2022-04-18 00:00:00 +0000,18, , ,0,          
C00267849,"",D000000839,Allied Pilots Assn,8500,8500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00142711,"",D000000100,Boeing Co,8007,8000,7,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000056062,Resmed Inc,7637,0,7637,2022-04-18 00:00:00 +0000,21, , ,0,          
C00027532,"",          ,American Maritime Officers,7525,7500,25,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Village Market,7523,0,7523,2022-04-18 00:00:00 +0000,23, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00238204,"",D000028214,Pakistani American Public Affairs Cmte,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00388827,"",D000066716,Rock Holdings,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Kls,7233,0,7233,2022-04-18 00:00:00 +0000,27, , ,0,          
C00397851,"",D000024670,Centene Corp,6800,1000,5800,2022-04-18 00:00:00 +0000,28, , ,0,          
C00079681,"",D000022136,National Propane Gas Assn,6000,6000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Petoskey Plastics,6000,0,6000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Endeavor Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000062036,Kirlin Co,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Oro Capital Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Profile Films,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000030495,Toyota Motor Corp                       ,5500,5000,500,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Strategic Communication Solutions LLC,5375,0,5375,2022-04-18 00:00:00 +0000,36, , ,0,          
C00046474,"",D000000182,Ford Motor Co,5055,5000,55,2022-04-18 00:00:00 +0000,37, , ,0,          
C00104802,"",D000000350,Delta Air Lines,5015,5000,15,2022-04-18 00:00:00 +0000,38, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Chalmers & Adams,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Chalmers & Adams LLC,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00531756,"",          ,Doing Our Utmost For God Liberty & Security,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00076810,"",D000000155,General Motors,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Green Light Property Management,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00393298,"",D000022026,Herbalife Nutrition,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00388462,"",          ,ITC Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Krist Oil Co,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000074177,Land & Co,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00384354,"",          ,Michigan Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000055306,Peduzzi Assoc,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00164145,"",D000029616,USAA,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00499798,"",          ,VICKY PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Kjj LLC,4925,0,4925,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Atlanticus,4908,0,4908,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000073426,Pencor Services,4003,0,4003,2022-04-18 00:00:00 +0000,59, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,4000,4000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,4000,4000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Black & Rossi LLC,4000,0,4000,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000053752,Michigan Research Institute,4000,0,4000,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Tactical Air Support,3900,0,3900,2022-04-18 00:00:00 +0000,64, , ,0,          
C00487181,"",          ,National Coalition of Turkish American Women,3750,3750,0,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Stantec Consulting,3550,0,3550,2022-04-18 00:00:00 +0000,66, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,3500,3500,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00423871,"",D000048342,Atrium Health,3200,0,3200,2022-04-18 00:00:00 +0000,68, , ,0,          
C00193631,"",D000000359,Farm Credit Council,3200,3200,0,2022-04-18 00:00:00 +0000,68, , ,0,          
