pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,71400,0,71400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,28295,0,28295,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Snell Retail Group,15800,0,15800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,King Street Wireless,15000,0,15000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000089097,Strelitzia Ventures,13800,0,13800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",12900,0,12900,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000033821,Fried Companies,11700,0,11700,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000072819,Graham Companies,11620,0,11620,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000047907,Borton Volvo,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Kapco Holdings LLC,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00213173,"",D000000766,K&L Gates,11250,1000,10250,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Carfax,11200,0,11200,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000052426,Ischemix,10800,0,10800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Burke & Herbert Bank,10600,0,10600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00386524,"",D000072145,Truist Financial,10600,0,10600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00360354,"",D000023883,Amazon.com,10200,1500,8700,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Weissberg Investment Corp,10100,0,10100,2022-04-18 00:00:00 +0000,19, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Kitebrook Partners,10000,0,10000,2022-04-18 00:00:00 +0000,20, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00177972,"",D000021641,"Pillsbury, Winthrop et al",9900,0,9900,2022-04-18 00:00:00 +0000,26, , ,0,          
C00441949,"",          ,JStreetPAC,9600,4000,5600,2022-04-18 00:00:00 +0000,27, , ,0,          
C00012245,"",          ,UBS Americas,9000,9000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000033300,Duke University,8700,0,8700,2022-04-18 00:00:00 +0000,29, , ,0,          
C00428623,"",          ,Google Inc,7950,2000,5950,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000082067,Venture Global Lng,7900,0,7900,2022-04-18 00:00:00 +0000,31, , ,0,          
C00151340,"",D000021569,DLA Piper,7750,0,7750,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000071787,Freedom Capital Partners,7700,0,7700,2022-04-18 00:00:00 +0000,33, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,7550,0,7550,2022-04-18 00:00:00 +0000,34, , ,0,          
C00064766,"",D000000081,United Parcel Service,7500,5000,2500,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031512,American University,7400,0,7400,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000030724,US Dept of Homeland Security            ,7100,0,7100,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000034334,"Harris, Wiltshire & Grannis",7050,0,7050,2022-04-18 00:00:00 +0000,38, , ,0,          
C00024521,"",D000000065,American Assn for Justice,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Shiloh Group,7000,0,7000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00542365,"",          ,Toyota Motor North America,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000044263,Fralin & Waldron,6900,0,6900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Capital Research & Mngmt Co,6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000035742,McLarty Assoc,6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00155952,"",D000044800,Democratic Party of Virginia,6750,6750,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00211318,"",D000000131,Deloitte LLP,6050,5000,1050,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Abramson Properties,6000,0,6000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00077552,"",D000021860,Baker Botts LLP,6000,0,6000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,6000,0,6000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00339655,"",          ,US Oncology,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Clemente Management Co,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Executive Affiliates Inc,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000033627,Fernandez Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Free the Slaves,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Freedom Initiative,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Malloy Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000053956,Morino Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Mpaa,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000022164,Nvr Inc,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00421487,"",D000028428,Pragmatics Inc,5800,2900,2900,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000077587,Sheehy Auto Stores,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
