pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000091858,Hilliary Communications,27200,0,27200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00354753,"",D000025483,Devon Energy,22100,0,22100,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Atc,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Glenn A Ashmore Dds,15800,0,15800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00469429,"",D000065616,CMR PAC,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00109546,"",D000022303,Valero Energy,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000091828,Silver Star Construction,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Gardner Tanenbaum Holdings,10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,"Interiors, Etc",10800,0,10800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,10061,10000,61,2022-04-18 00:00:00 +0000,16, , ,0,          
C00342766,"",D000026132,HollyFrontier Corp,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00686709,"",D000071048,Kratos Defense & Security Solutions,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00492058,"",          ,Lank PAC,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00765982,"",          ,Stand for America PAC,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00040394,"",D000000480,Williams Companies,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000025681,Ovintiv Inc,9500,7500,2000,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Girls Gone Wine,9189,0,9189,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Acap Holdings LLC,8332,0,8332,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,27, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Hilliary Services,7900,0,7900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000034524,Home Creations,7800,0,7800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Charles Schwab & Co,7633,0,7633,2022-04-18 00:00:00 +0000,31, , ,0,          
C00540187,"",D000027721,Innovation PAC,7500,7500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00078451,"",D000000165,General Dynamics,7062,7000,62,2022-04-18 00:00:00 +0000,33, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,7000,7000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00142711,"",D000000100,Boeing Co,6311,5500,811,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Urban Nest Homes LLC,6000,0,6000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00160077,"",D000031787,BancFirst,5900,0,5900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Idcokc,5820,0,5820,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000021912,Citadel LLC,5802,0,5802,2022-04-18 00:00:00 +0000,39, , ,0,          
C00763623,"",D000073362,Anduril Industries,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Blt Tanks,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Consumer Credit Innovations,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Continental Property Co,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000066619,Cumberland Development,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000021972,Elliott Management,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Good Shepherd Hospice,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Hall Capital,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000061881,Jane Street Capital,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Jennings Teague Law,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000000342,JW Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000068511,McMahon Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,National Cowboy Museum,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Netfast,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,State Wide Service Distributor,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000022288,Trt Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Van Hoose Construction,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
C00646703,"",D000070512,Winning for Women                                 ,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000031179,Yancey Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Independence Tube,5600,0,5600,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000068900,Satter Investment Management,5600,0,5600,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Ovintiv,5500,0,5500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00570945,"",          ,E-PAC,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000034618,ICI Homes,5000,0,5000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00708958,"",D000075403,Unit Corp,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5000,5000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,4669,0,4669,2022-04-18 00:00:00 +0000,89, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,4575,4500,75,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,4525,0,4525,2022-04-18 00:00:00 +0000,91, , ,0,          
C00236489,"",D000000186,Koch Industries,4503,4500,3,2022-04-18 00:00:00 +0000,92, , ,0,          
C00756825,"",          ,Delivers PAC,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00623512,"",          ,In the Arena PAC,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",D000037814,State of Oklahoma,4165,0,4165,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",D000083852,Mammoth Energy Services,4000,0,4000,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000035038,Keller Williams Realty,3930,0,3930,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000077137,Jones Public Relations,3900,0,3900,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Southwind Construction Services,3800,0,3800,2022-04-18 00:00:00 +0000,99, , ,0,          
C00488080,"",D000054345,National Stripper Well Assn,3500,3500,0,2022-04-18 00:00:00 +0000,100, , ,0,          
