pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000094203,Igas Usa,21400,0,21400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000087083,Sawyer Products,21200,0,21200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00426775,"",D000000672,Charter Communications,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,13200,5000,8200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Coldwell Banker,11725,0,11725,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Harborlight Holdings LLC,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Nwtc,11200,0,11200,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000070576,KPS Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00109017,"",D000000076,AT&T Inc,10100,10000,100,2022-04-18 00:00:00 +0000,10, , ,0,          
C00360354,"",D000023883,Amazon.com,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00085316,"",D000000222,Cigna Corp,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00271007,"",D000000652,Humana Inc,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9500,9500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037635,Ballard Partners,9000,0,9000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Consumer Credit Innovations,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000062316,Marwick Assoc,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00106146,"",D000000116,American Hospital Assn,8000,8000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00248716,"",D000000461,Comcast Corp,8000,8000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00343459,"",D000021829,American College of Radiology,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00384818,"",D000025214,CVS Health,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00204008,"",D000022133,National Funeral Directors Assn,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,7000,7000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00171330,"",D000000330,Holland & Knight,6800,1000,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,New England Risk Solutions,6800,0,6800,2022-04-18 00:00:00 +0000,29, , ,0,          
C00016683,"",D000000138,Pfizer Inc,6500,6500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,6000,6000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Acro Pac,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000044649,Amscot Financial,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Bailey & Lumb,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000061571,Hall Booth Smith Pc,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000078372,Sobrato Organization,5800,0,5800,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Sunergy Solar,5750,0,5750,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Evolved Strategic Marketing,5600,0,5600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Ntc,5600,0,5600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Sunergy Solar LLC,5500,0,5500,2022-04-18 00:00:00 +0000,42, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00017525,"",D000000173,American Nurses Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00543371,"",D000047776,Biomarin Pharmaceutical,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00397851,"",D000024670,Centene Corp,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000084116,Florida Sun Realty,5000,0,5000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00096156,"",D000000334,Honeywell International,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00064774,"",D000000321,NextEra Energy,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Sirpac,5000,0,5000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00186288,"",D000000079,Verizon Communications,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00314997,"",D000027104,Laboratory Corp of America,4500,4500,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00471169,"",          ,Alexion Pharmaceuticals,4000,4000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000082369,Eclipse Energy Systems,4000,0,4000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00303024,"",D000000104,Lockheed Martin,4000,4000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,4000,4000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Ballard Group,3900,0,3900,2022-04-18 00:00:00 +0000,64, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00004275,"",D000000087,American Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00113803,"",D000021835,American Osteopathic Assn,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00210666,"",D000000626,American Speech-Language-Hearing Assn,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00262295,"",D000000394,CTIA,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00369751,"",D000000585,Dell Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00428623,"",          ,Google Inc,3500,2500,1000,2022-04-18 00:00:00 +0000,65, , ,0,          
C00653477,"",          ,Lincare Holdings,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,3500,2500,1000,2022-04-18 00:00:00 +0000,65, , ,0,          
C00361758,"",D000022272,T-Mobile USA,3500,3500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,3025,3000,25,2022-04-18 00:00:00 +0000,76, , ,0,          
C00395723,"",D000021817,Alston & Bird,3000,2500,500,2022-04-18 00:00:00 +0000,77, , ,0,          
C00005660,"",D000021827,American Assn/Oral & Maxillofacial Surg,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00357863,"",D000021878,Boston Scientific Corp,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00274944,"",D000000540,College of American Pathologists,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Condista Networks,3000,0,3000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00083535,"",D000000477,Duke Energy,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00411900,"",D000025642,Edwards Lifesciences,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00430256,"",D000027692,Molina Healthcare,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00329185,"",D000028499,Quest Diagnostics,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Ronald A Book Pa Law Offices,3000,0,3000,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Savills Inc,3000,0,3000,2022-04-18 00:00:00 +0000,77, , ,0,          
C00423236,"",          ,Sunovion Pharmaceuticals,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00093054,"",D000000367,Walmart Inc,3000,3000,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Astra Foods,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Eci Pharmaceuticals,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Frey Farms,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
C00788661,"",D000073279,Global Blood Therapeutics,2900,2900,0,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Marwick LLC,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Moss Creek LLC,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Piech Decorating,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Vein91 Vein Treatment Centers,2900,0,2900,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",D000022086,Livingston Group,2850,0,2850,2022-04-18 00:00:00 +0000,99, , ,0,          
C00000729,"",D000000105,American Dental Assn,2750,2750,0,2022-04-18 00:00:00 +0000,100, , ,0,          
