pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00089136,"",D000000067,Altria Group,15500,15000,500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00284885,"",D000000419,Home Depot,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,12000,12000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000088435,Thomas Usaf Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00308478,"",D000029615,USA Rice Federation                     ,11000,11000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,10050,10000,50,2022-04-18 00:00:00 +0000,7, , ,0,          
C00078451,"",D000000165,General Dynamics,10025,10000,25,2022-04-18 00:00:00 +0000,8, , ,0,          
C00034157,"",D000000126,AFLAC Inc,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00214148,"",D000023991,American Peanut Shellers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00416297,"",D000000431,National Cotton Council,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00682617,"",D000074352,National Pecan Federation,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00502807,"",D000074087,US Peanut PAC,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00024521,"",D000000065,American Assn for Justice,9000,9000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00202184,"",D000027883,National Rural Water Assn               ,8000,7500,500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00503680,"",D000049867,Crop Insurance Professionals Assn,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00369751,"",D000000585,Dell Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00300426,"",D000029138,Southern Cotton Growers Inc,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00169821,"",D000000460,Tyson Foods,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00340075,"",          ,BASF Corp,7000,7000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00007948,"",D000000430,Weyerhaeuser Co,7000,7000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6003,6000,3,2022-04-18 00:00:00 +0000,32, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,6000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00426775,"",D000000672,Charter Communications,6000,6000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00201871,"",D000000676,National Pork Producers Council,6000,6000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00172841,"",D000029567,United Egg Assn,6000,6000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000088004,Jordan-Blanchard Capital,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000065774,Richmond Global,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,School Investor,5800,0,5800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00382796,"",D000035370,LHC Group,5600,0,5600,2022-04-18 00:00:00 +0000,41, , ,0,          
C00042002,"",          ,Reynolds American,5500,5500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00094573,"",D000000582,Alabama Farmers Federation,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00211037,"",D000023806,Alabama Peanut Producers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00093963,"",D000000132,Archer Daniels Midland,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00399196,"",D000021881,BRIDGE PAC,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00247981,"",D000019355,Corteva Agriscience,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00248849,"",D000025187,CropLife America,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00151787,"",          ,Cubic Corp,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00001388,"",D000000119,Dairy Farmers of America,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000033369,Eddie Bernice Johnson for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00574970,"",          ,Fair Shot PAC,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00193631,"",D000000359,Farm Credit Council,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00253468,"",D000025761,Farmer Mac,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00441980,"",D000071814,Global Payments,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00552778,"",D000070990,Live Oak Bank,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00208322,"",D000027364,Management & Training Corp,5000,5000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
