pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00448696,"",D000028985,Senate Conservatives Fund,289292,0,289292,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,220703,2603,218100,2022-04-18 00:00:00 +0000,2, , ,0,          
C00067231,"",D000000445,HCA Inc,66100,10000,56100,2022-04-18 00:00:00 +0000,3,x, ,1,D000000445
C00366468,"",D000021940,CoreCivic Inc,63400,18500,44900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000073301,Southwestern Family of Companies,61700,0,61700,2022-04-18 00:00:00 +0000,5, , ,0,          
C00068692,"",D000000089,FedEx Corp,58021,25000,33021,2022-04-18 00:00:00 +0000,6,x, ,2,D000000089
C00452581,"",D000025141,Copart Inc,56567,0,56567,2022-04-18 00:00:00 +0000,7,x, ,0,D000025141
         ,"",D000033794,Franklin American Mortgage,53000,0,53000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00248716,"",D000000461,Comcast Corp,52950,25000,27950,2022-04-18 00:00:00 +0000,9,x, ,7,D000000461
C00109017,"",D000000076,AT&T Inc,50481,25000,25481,2022-04-18 00:00:00 +0000,10,x, ,3,D000000076
C00027466,"",D000036122,National Republican Senatorial Cmte,47402,47400,2,2022-04-18 00:00:00 +0000,11, , ,0,          
C00236489,"",D000000186,Koch Industries,44225,25000,19225,2022-04-18 00:00:00 +0000,12,x, ,2,D000000186
         ,"",D000021873,Blackstone Group                        ,42680,0,42680,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037820,State of Tennessee,42220,0,42220,2022-04-18 00:00:00 +0000,14, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,42100,15500,26600,2022-04-18 00:00:00 +0000,15,x, ,0,D000064266
         ,"",D000084333,Cooper Steel,41300,0,41300,2022-04-18 00:00:00 +0000,16, , ,0,          
C00702308,"",D000072032,Advance Financial,40075,2500,37575,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000022043,Ingram Industries,40025,5700,34325,2022-04-18 00:00:00 +0000,18,x, ,0,D000022043
         ,"",D000088557,Jonathan's Grille,39900,0,39900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,39775,15000,24775,2022-04-18 00:00:00 +0000,20, , ,0,          
C00330647,"",D000000535,DISH Network,39500,12500,27000,2022-04-18 00:00:00 +0000,21,x, ,2,D000000535
         ,"",D000022190,Pilot Corp                              ,37904,0,37904,2022-04-18 00:00:00 +0000,22,x, ,0,D000022190
C00388827,"",D000066716,Rock Holdings,36200,20000,16200,2022-04-18 00:00:00 +0000,23,x, ,2,D000066716
         ,"",D000061425,Gen Cap America,34700,0,34700,2022-04-18 00:00:00 +0000,24, , ,0,          
C00089136,"",D000000067,Altria Group,32516,27500,5016,2022-04-18 00:00:00 +0000,25,x, ,1,D000000067
C00251876,"",D000000391,Amgen Inc,32505,28000,4505,2022-04-18 00:00:00 +0000,26,x, ,1,D000000391
C00104802,"",D000000350,Delta Air Lines,32138,17500,14638,2022-04-18 00:00:00 +0000,27,x, ,0,D000000350
C00361758,"",D000022272,T-Mobile USA,32025,31500,525,2022-04-18 00:00:00 +0000,28,x, ,3,D000022272
